,iso3,long,lat,SSP1,SSP3,SSP5
0,FIN8845.0,65.5,25.5,-0.57,-0.33,-7.91
1,FIN9204.0,64.5,24.5,-0.3,-0.3,-6.53
2,FIN9205.0,64.5,25.5,-5.07,-4.72,-10.94
3,FIN9206.0,64.5,26.5,-14.29,-14.07,-24.03
4,FIN9207.0,64.5,27.5,-1.59,-1.51,-1.72
5,FIN9208.0,64.5,28.5,-0.01,0.0,-2.83
6,FIN9561.0,63.5,21.5,-6.24,-4.3,-17.73
7,FIN9562.0,63.5,22.5,-10.28,-9.41,-24.55
8,FIN9563.0,63.5,23.5,-8.08,-7.85,-20.41
9,FIN9564.0,63.5,24.5,-6.64,-6.13,-17.62
10,FIN9565.0,63.5,25.5,-3.43,-2.93,-13.93
11,FIN9566.0,63.5,26.5,-8.39,-8.09,-15.52
12,FIN9567.0,63.5,27.5,-3.29,-3.1,-6.29
13,FIN9568.0,63.5,28.5,-5.85,-5.89,-10.84
14,FIN9569.0,63.5,29.5,-16.23,-15.88,-21.39
15,FIN9570.0,63.5,30.5,-11.68,-11.44,-15.53
16,FIN9921.0,62.5,21.5,0.0,0.0,0.0
17,FIN9922.0,62.5,22.5,0.0,0.0,-0.97
18,FIN9923.0,62.5,23.5,-4.88,-4.45,-18.5
19,FIN9924.0,62.5,24.5,-10.08,-9.86,-23.59
20,FIN9925.0,62.5,25.5,-5.01,-4.39,-16.29
21,FIN9926.0,62.5,26.5,-21.3,-21.27,-29.11
22,FIN9927.0,62.5,27.5,-4.08,-3.94,-7.25
23,FIN9928.0,62.5,28.5,-1.18,-1.01,-6.06
24,FIN9929.0,62.5,29.5,-0.06,-0.06,-0.89
25,FIN9930.0,62.5,30.5,-0.04,-0.03,-0.93
26,FIN9931.0,62.5,31.5,-4.94,-4.54,-11.3
27,FIN10281.0,61.5,21.5,-3.26,-3.07,-5.55
28,FIN10282.0,61.5,22.5,-1.88,-1.88,-1.88
29,FIN10283.0,61.5,23.5,0.0,0.0,0.0
30,FIN10284.0,61.5,24.5,0.0,0.0,0.0
