,iso3,long,lat,SSP1,SSP3,SSP5
0,FIN8845.0,65.5,25.5,0.0,0.0,0.0
1,FIN9204.0,64.5,24.5,-0.44,-0.44,-6.43
2,FIN9205.0,64.5,25.5,-4.52,-3.9,-10.27
3,FIN9206.0,64.5,26.5,-14.02,-13.81,-22.96
4,FIN9207.0,64.5,27.5,0.0,0.0,0.0
5,FIN9208.0,64.5,28.5,0.0,0.0,0.0
6,FIN9561.0,63.5,21.5,-5.26,-2.95,-20.64
7,FIN9562.0,63.5,22.5,-11.4,-10.6,-25.5
8,FIN9563.0,63.5,23.5,-11.42,-11.22,-26.04
9,FIN9564.0,63.5,24.5,-7.79,-6.94,-18.88
10,FIN9565.0,63.5,25.5,-3.18,-2.68,-14.79
11,FIN9566.0,63.5,26.5,-11.38,-11.02,-20.08
12,FIN9567.0,63.5,27.5,-1.54,-1.38,-4.56
13,FIN9568.0,63.5,28.5,-5.89,-5.91,-10.18
14,FIN9569.0,63.5,29.5,-15.35,-14.71,-23.64
15,FIN9570.0,63.5,30.5,-15.94,-15.78,-19.55
16,FIN9921.0,62.5,21.5,0.0,0.0,0.0
17,FIN9922.0,62.5,22.5,0.0,0.0,0.0
18,FIN9923.0,62.5,23.5,-2.67,-2.38,-14.61
19,FIN9924.0,62.5,24.5,-9.21,-9.08,-23.34
20,FIN9925.0,62.5,25.5,-5.24,-4.32,-18.19
21,FIN9926.0,62.5,26.5,-29.04,-29.0,-40.23
22,FIN9927.0,62.5,27.5,-0.22,-0.2,-2.05
23,FIN9928.0,62.5,28.5,-0.43,-0.27,-4.67
24,FIN9929.0,62.5,29.5,-0.0,-0.0,-0.43
25,FIN9930.0,62.5,30.5,-0.02,-0.02,-0.27
26,FIN9931.0,62.5,31.5,-4.95,-4.52,-12.16
27,FIN10281.0,61.5,21.5,-1.9,-1.72,-3.38
28,FIN10282.0,61.5,22.5,-1.74,-1.74,-1.74
29,FIN10283.0,61.5,23.5,0.0,0.0,0.0
30,FIN10284.0,61.5,24.5,0.0,0.0,0.0
31,FIN10285.0,61.5,25.5,0.46,0.46,0.46
32,FIN10286.0,61.5,26.5,0.0,0.0,0.0
33,FIN10287.0,61.5,27.5,0.0,0.0,0.0
34,FIN10288.0,61.5,28.5,0.0,0.0,0.0
35,FIN10289.0,61.5,29.5,0.0,0.0,0.0
36,FIN10290.0,61.5,30.5,0.0,0.0,0.0
37,FIN10641.0,60.5,21.5,0.0,0.0,0.0
38,FIN10642.0,60.5,22.5,0.0,0.0,0.0
39,FIN10643.0,60.5,23.5,0.0,0.0,0.0
40,FIN10644.0,60.5,24.5,0.0,0.0,0.0
41,FIN10645.0,60.5,25.5,0.0,0.0,0.0
42,FIN10646.0,60.5,26.5,0.0,0.0,0.0
43,FIN10647.0,60.5,27.5,0.0,0.0,-18.01
44,FIN10648.0,60.5,28.5,0.0,0.0,0.0
45,FIN11003.0,59.5,23.5,0.0,0.0,0.0
46,FIN11004.0,59.5,24.5,0.0,0.0,0.0
47,RUS9582.0,63.5,42.5,1.19,0.82,-3.11
48,RUS9932.0,62.5,32.5,-10.34,-9.9,-21.55
49,RUS9933.0,62.5,33.5,-7.05,-6.78,-17.55
50,RUS9935.0,62.5,35.5,-2.76,-2.7,-9.33
51,RUS9936.0,62.5,36.5,-4.17,-3.96,-10.45
52,RUS9938.0,62.5,38.5,-0.77,-0.65,-11.22
53,RUS9939.0,62.5,39.5,-0.05,-0.05,-1.01
54,RUS9940.0,62.5,40.5,-2.67,-2.1,-7.5
55,RUS9941.0,62.5,41.5,-0.44,-0.42,-1.7
56,RUS9942.0,62.5,42.5,0.0,0.0,-0.0
57,RUS9943.0,62.5,43.5,0.0,0.0,0.0
58,RUS9944.0,62.5,44.5,0.0,0.0,0.0
59,RUS9945.0,62.5,45.5,0.0,0.0,0.0
60,RUS9950.0,62.5,50.5,0.0,0.0,0.0
61,RUS10291.0,61.5,31.5,1.92,1.92,1.92
62,RUS10292.0,61.5,32.5,0.0,0.0,0.0
63,RUS10293.0,61.5,33.5,0.0,0.0,0.0
64,RUS10294.0,61.5,34.5,0.0,0.0,0.0
65,RUS10295.0,61.5,35.5,0.0,0.0,0.0
66,RUS10296.0,61.5,36.5,0.0,0.0,0.0
67,RUS10297.0,61.5,37.5,0.0,0.0,0.0
68,RUS10298.0,61.5,38.5,0.0,0.0,0.0
69,RUS10299.0,61.5,39.5,0.0,0.0,0.0
70,RUS10300.0,61.5,40.5,0.0,0.0,0.0
71,RUS10301.0,61.5,41.5,-0.11,-0.11,-0.11
72,RUS10302.0,61.5,42.5,-0.01,-0.01,-0.01
73,RUS10303.0,61.5,43.5,0.0,0.0,0.0
74,RUS10304.0,61.5,44.5,0.0,0.0,0.0
75,RUS10305.0,61.5,45.5,0.0,0.0,0.0
76,RUS10306.0,61.5,46.5,0.0,0.0,0.0
77,RUS10307.0,61.5,47.5,0.0,0.0,0.0
78,RUS10308.0,61.5,48.5,0.0,0.0,0.0
79,RUS10309.0,61.5,49.5,0.0,0.0,0.0
80,RUS10310.0,61.5,50.5,0.0,0.0,0.0
81,RUS10311.0,61.5,51.5,0.0,0.0,0.0
82,RUS10312.0,61.5,52.5,0.0,0.0,0.0
83,RUS10313.0,61.5,53.5,0.0,0.0,0.0
84,RUS10314.0,61.5,54.5,-1.22,0.81,-6.96
85,RUS10325.0,61.5,65.5,-1.01,0.45,-7.39
86,RUS10649.0,60.5,29.5,-0.17,-0.43,-2.48
87,RUS10650.0,60.5,30.5,-3.07,-3.09,-8.72
88,RUS10651.0,60.5,31.5,-9.11,-8.31,-21.85
89,RUS10652.0,60.5,32.5,0.0,0.0,0.0
90,RUS10653.0,60.5,33.5,0.0,0.0,0.0
91,RUS10654.0,60.5,34.5,0.0,0.0,0.0
92,RUS10655.0,60.5,35.5,0.0,0.0,-0.0
93,RUS10656.0,60.5,36.5,-7.22,-6.26,-19.04
94,RUS10657.0,60.5,37.5,-16.88,-14.47,-31.71
95,RUS10658.0,60.5,38.5,0.82,0.76,-2.71
96,RUS10659.0,60.5,39.5,-4.24,-3.77,-15.24
97,RUS10660.0,60.5,40.5,-6.65,-6.33,-17.67
98,RUS10661.0,60.5,41.5,-22.78,-22.22,-27.57
99,RUS10662.0,60.5,42.5,-0.33,-0.2,-3.17
100,RUS10663.0,60.5,43.5,-6.0,-5.67,-12.91
101,RUS10664.0,60.5,44.5,-1.99,-1.51,-11.32
102,RUS10665.0,60.5,45.5,-3.81,-3.79,-4.36
103,RUS10666.0,60.5,46.5,0.0,0.0,0.0
104,RUS10667.0,60.5,47.5,-0.36,-0.36,-0.36
105,RUS10668.0,60.5,48.5,0.0,0.0,0.0
106,RUS10669.0,60.5,49.5,0.0,0.0,0.0
107,RUS10670.0,60.5,50.5,0.0,0.0,0.0
108,RUS10671.0,60.5,51.5,0.0,0.0,0.0
109,RUS10672.0,60.5,52.5,0.0,0.0,0.0
110,RUS10673.0,60.5,53.5,0.0,0.0,0.0
111,RUS10674.0,60.5,54.5,0.0,0.0,0.0
112,RUS10675.0,60.5,55.5,0.0,0.0,0.0
113,RUS10676.0,60.5,56.5,0.0,0.0,0.0
114,RUS10677.0,60.5,57.5,0.0,0.0,0.0
