,name,iso3,1850,1900,1910,1945,1980,2015,SSP1,SSP3,SSP5
0,Afghanistan,AFG,15.968227848101266,15.74607594936709,17.07139240506329,25.74316455696203,21.911012658227847,21.003291139240513,22.13341772151899,13.282405063291138,17.579873417721522
1,Albania,ALB,31.983999999999998,17.074,15.868,17.974,24.046,33.282000000000004,36.339999999999996,36.0,31.625999999999998
2,Algeria,DZA,37.55424242424243,20.63060606060606,18.82878787878788,18.845151515151514,9.092727272727274,8.73090909090909,1.064848484848485,1.5472727272727276,7.813333333333334
3,Angola,AGO,8.312916666666666,8.87675,10.418333333333333,19.224500000000003,32.36075,51.235666666666674,63.46991666666665,6.52083333333333,44.75666666666666
4,Argentina,ARG,51.13626666666667,47.5020888888889,43.56853333333334,35.052088888888896,26.28053333333335,23.175955555555564,26.96835555555557,21.241244444444447,22.07653333333334
5,Armenia,ARM,14.42375,9.076249999999998,8.435,8.5075,8.97625,7.603750000000001,8.411249999999999,7.291249999999999,7.476249999999999
6,Aruba,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Australia,AUS,2.6464436619718312,7.430598591549294,4.207605633802817,2.715915492957746,5.065598591549296,5.7018309859154925,7.4095070422535185,7.7198239436619716,6.238380281690144
8,Austria,AUT,15.996153846153847,12.051538461538458,11.804615384615387,11.520769230769234,13.853846153846153,22.726153846153846,32.35153846153845,24.473076923076924,18.610769230769233
9,Azerbaijan,AZE,1.015,8.801666666666666,3.768333333333333,3.698333333333333,8.441666666666666,12.511666666666665,15.433333333333332,15.516666666666666,10.703333333333335
10,Bahrain,BHR,0.0,100.0,100.0,100.0,80.98,9.94,0.0,0.0,0.0
11,Bangladesh,BGD,5.49,10.824285714285713,12.372857142857143,11.001428571428571,6.571428571428571,3.281428571428571,4.511428571428572,3.3142857142857145,5.278571428571429
12,Belarus,BLR,60.36000000000001,42.00782608695653,38.95739130434782,37.49739130434783,29.477391304347822,32.541739130434784,38.203913043478266,37.02217391304348,31.83260869565217
13,Belgium,BEL,17.425,14.595,14.185,13.0,15.34,11.434999999999999,15.26,13.010000000000002,13.21
14,Belize,BLZ,93.10749999999999,92.1475,91.33,77.8775,64.92999999999999,54.6625,68.205,49.8775,61.8075
15,Benin,BEN,10.4075,9.915000000000001,9.76875,4.76375,4.5825000000000005,2.6,2.62,2.4475000000000002,2.4262500000000005
16,Bolivia,BOL,16.946250000000003,27.754166666666666,34.48305555555555,57.05124999999998,50.38958333333334,37.826388888888886,49.943611111111125,38.47791666666668,38.89805555555556
17,Bosnia and Herzegovina,BIH,62.82,6.37,3.42,5.16,14.81,71.44,79.03,78.49,65.14
18,Botswana,BWA,0.0,0.0,0.0,3.125,27.22625,37.1953125,38.6703125,39.490625,57.6721875
19,Brazil,BRA,21.41321126760563,26.8399014084507,27.216239436619702,44.60161971830987,42.19067605633806,43.19185915492958,44.24236619718307,39.4760422535211,43.94856338028172
20,Brunei Darussalam,BRN,0.0,0.0,0.0,33.333333333333336,99.96999999999998,96.62,97.90333333333335,96.3,90.02333333333333
21,Bulgaria,BGR,74.70428571428572,59.361428571428576,50.284285714285716,47.55714285714286,45.83428571428572,61.38714285714286,63.63857142857143,59.4857142857143,60.12571428571429
22,Burkina Faso,BFA,1.7255555555555555,1.3511111111111112,1.2455555555555555,1.1622222222222218,1.2455555555555557,1.3833333333333335,1.3888888888888888,1.4966666666666668,1.4511111111111112
23,Burma,MMR,38.659677419354836,38.9008064516129,42.47677419354839,55.84403225806453,54.879354838709695,44.7766129032258,45.132096774193535,42.37467741935483,46.04919354838711
24,Burundi,BDI,48.90428571428571,61.558571428571426,61.05571428571428,51.279999999999994,34.848571428571425,23.178571428571427,23.427142857142854,7.312857142857142,15.745714285714286
25,Cambodia,KHM,41.14727272727273,40.46454545454545,44.034090909090914,47.07590909090909,45.326818181818176,34.449090909090906,35.57136363636363,34.46318181818182,37.32954545454546
26,Cameroon,CMR,19.750384615384615,23.67615384615385,27.219807692307693,35.52634615384615,48.731153846153845,42.79634615384615,52.19153846153848,13.721730769230769,27.084615384615383
27,Canada,CAN,21.31883582089553,27.63194029850746,31.120417910447763,32.28128358208954,29.00862686567164,32.001552238805964,35.516567164179094,29.296149253731336,31.258865671641782
28,Central African Republic,CAF,1.887,1.435,1.435,5.4475,9.147749999999998,17.89375,24.091,11.848499999999998,20.536
29,Chad,TCD,33.24255813953488,30.410930232558147,29.574186046511624,35.45139534883721,44.66860465116278,40.05883720930231,42.54790697674419,18.921395348837212,21.16627906976744
30,Chile,CHL,7.911057692307693,15.732307692307696,22.4825,29.941442307692306,24.95451923076923,28.38490384615384,29.620000000000005,24.811634615384623,26.26057692307692
31,China,CHN,25.945170670037957,27.7944753476612,26.41150442477875,27.426649810366616,17.67228824273071,15.13714285714285,18.06532237673832,16.472642225031596,16.464412136536044
32,Colombia,COL,15.726631578947371,17.405368421052632,22.581473684210533,26.009578947368414,29.477263157894733,24.447578947368417,28.730842105263147,27.277684210526306,25.59063157894736
33,Congo,COG,4.166666666666667,8.333333333333334,8.333333333333334,32.872083333333336,76.53916666666666,80.61708333333334,81.20166666666668,53.08625,63.17416666666668
34,Costa Rica,CRI,89.27090909090909,97.57545454545453,97.27,87.41818181818184,65.04363636363637,58.24545454545455,70.87727272727273,60.100909090909084,58.61818181818182
35,Cote d'Ivoire,CIV,32.51114285714286,34.914571428571435,34.82171428571429,38.876,30.267714285714288,24.864000000000004,24.260857142857144,16.551428571428573,18.875714285714288
