,fid,GRIDCODE,region,country,lat,lng,iso3
0,8845,8846,Eurasia,Finland,65.5,25.5,FIN
1,9204,9205,Eurasia,Finland,64.5,24.5,FIN
2,9205,9206,Eurasia,Finland,64.5,25.5,FIN
3,9206,9207,Eurasia,Finland,64.5,26.5,FIN
4,9207,9208,Eurasia,Finland,64.5,27.5,FIN
5,9208,9209,Eurasia,Finland,64.5,28.5,FIN
6,9561,9562,Eurasia,Finland,63.5,21.5,FIN
7,9562,9563,Eurasia,Finland,63.5,22.5,FIN
8,9563,9564,Eurasia,Finland,63.5,23.5,FIN
9,9564,9565,Eurasia,Finland,63.5,24.5,FIN
10,9565,9566,Eurasia,Finland,63.5,25.5,FIN
11,9566,9567,Eurasia,Finland,63.5,26.5,FIN
12,9567,9568,Eurasia,Finland,63.5,27.5,FIN
13,9568,9569,Eurasia,Finland,63.5,28.5,FIN
14,9569,9570,Eurasia,Finland,63.5,29.5,FIN
15,9570,9571,Eurasia,Finland,63.5,30.5,FIN
16,9921,9922,Eurasia,Finland,62.5,21.5,FIN
17,9922,9923,Eurasia,Finland,62.5,22.5,FIN
18,9923,9924,Eurasia,Finland,62.5,23.5,FIN
19,9924,9925,Eurasia,Finland,62.5,24.5,FIN
20,9925,9926,Eurasia,Finland,62.5,25.5,FIN
21,9926,9927,Eurasia,Finland,62.5,26.5,FIN
22,9927,9928,Eurasia,Finland,62.5,27.5,FIN
23,9928,9929,Eurasia,Finland,62.5,28.5,FIN
24,9929,9930,Eurasia,Finland,62.5,29.5,FIN
25,9930,9931,Eurasia,Finland,62.5,30.5,FIN
26,9931,9932,Eurasia,Finland,62.5,31.5,FIN
27,10281,10282,Eurasia,Finland,61.5,21.5,FIN
28,10282,10283,Eurasia,Finland,61.5,22.5,FIN
29,10283,10284,Eurasia,Finland,61.5,23.5,FIN
30,10284,10285,Eurasia,Finland,61.5,24.5,FIN
31,10285,10286,Eurasia,Finland,61.5,25.5,FIN
32,10286,10287,Eurasia,Finland,61.5,26.5,FIN
33,10287,10288,Eurasia,Finland,61.5,27.5,FIN
34,10288,10289,Eurasia,Finland,61.5,28.5,FIN
35,10289,10290,Eurasia,Finland,61.5,29.5,FIN
36,10290,10291,Eurasia,Finland,61.5,30.5,FIN
37,10641,10642,Eurasia,Finland,60.5,21.5,FIN
38,10642,10643,Eurasia,Finland,60.5,22.5,FIN
39,10643,10644,Eurasia,Finland,60.5,23.5,FIN
40,10644,10645,Eurasia,Finland,60.5,24.5,FIN
41,10645,10646,Eurasia,Finland,60.5,25.5,FIN
42,10646,10647,Eurasia,Finland,60.5,26.5,FIN
43,10647,10648,Eurasia,Finland,60.5,27.5,FIN
44,10648,10649,Eurasia,Finland,60.5,28.5,FIN
45,11003,11004,Eurasia,Finland,59.5,23.5,FIN
46,11004,11005,Eurasia,Finland,59.5,24.5,FIN
47,9582,9583,Eurasia,Russia,63.5,42.5,RUS
48,9932,9933,Eurasia,Russia,62.5,32.5,RUS
49,9933,9934,Eurasia,Russia,62.5,33.5,RUS
50,9935,9936,Eurasia,Russia,62.5,35.5,RUS
51,9936,9937,Eurasia,Russia,62.5,36.5,RUS
52,9938,9939,Eurasia,Russia,62.5,38.5,RUS
53,9939,9940,Eurasia,Russia,62.5,39.5,RUS
54,9940,9941,Eurasia,Russia,62.5,40.5,RUS
55,9941,9942,Eurasia,Russia,62.5,41.5,RUS
56,9942,9943,Eurasia,Russia,62.5,42.5,RUS
57,9943,9944,Eurasia,Russia,62.5,43.5,RUS
58,9944,9945,Eurasia,Russia,62.5,44.5,RUS
59,9945,9946,Eurasia,Russia,62.5,45.5,RUS
60,9950,9951,Eurasia,Russia,62.5,50.5,RUS
61,10291,10292,Eurasia,Russia,61.5,31.5,RUS
62,10292,10293,Eurasia,Russia,61.5,32.5,RUS
63,10293,10294,Eurasia,Russia,61.5,33.5,RUS
64,10294,10295,Eurasia,Russia,61.5,34.5,RUS
65,10295,10296,Eurasia,Russia,61.5,35.5,RUS
66,10296,10297,Eurasia,Russia,61.5,36.5,RUS
67,10297,10298,Eurasia,Russia,61.5,37.5,RUS
68,10298,10299,Eurasia,Russia,61.5,38.5,RUS
69,10299,10300,Eurasia,Russia,61.5,39.5,RUS
70,10300,10301,Eurasia,Russia,61.5,40.5,RUS
71,10301,10302,Eurasia,Russia,61.5,41.5,RUS
72,10302,10303,Eurasia,Russia,61.5,42.5,RUS
73,10303,10304,Eurasia,Russia,61.5,43.5,RUS
74,10304,10305,Eurasia,Russia,61.5,44.5,RUS
75,10305,10306,Eurasia,Russia,61.5,45.5,RUS
76,10306,10307,Eurasia,Russia,61.5,46.5,RUS
77,10307,10308,Eurasia,Russia,61.5,47.5,RUS
78,10308,10309,Eurasia,Russia,61.5,48.5,RUS
79,10309,10310,Eurasia,Russia,61.5,49.5,RUS
80,10310,10311,Eurasia,Russia,61.5,50.5,RUS
81,10311,10312,Eurasia,Russia,61.5,51.5,RUS
82,10312,10313,Eurasia,Russia,61.5,52.5,RUS
83,10313,10314,Eurasia,Russia,61.5,53.5,RUS
84,10314,10315,Eurasia,Russia,61.5,54.5,RUS
85,10325,10326,Eurasia,Russia,61.5,65.5,RUS
86,10649,10650,Eurasia,Russia,60.5,29.5,RUS
87,10650,10651,Eurasia,Russia,60.5,30.5,RUS
88,10651,10652,Eurasia,Russia,60.5,31.5,RUS
89,10652,10653,Eurasia,Russia,60.5,32.5,RUS
90,10653,10654,Eurasia,Russia,60.5,33.5,RUS
91,10654,10655,Eurasia,Russia,60.5,34.5,RUS
92,10655,10656,Eurasia,Russia,60.5,35.5,RUS
93,10656,10657,Eurasia,Russia,60.5,36.5,RUS
94,10657,10658,Eurasia,Russia,60.5,37.5,RUS
95,10658,10659,Eurasia,Russia,60.5,38.5,RUS
96,10659,10660,Eurasia,Russia,60.5,39.5,RUS
97,10660,10661,Eurasia,Russia,60.5,40.5,RUS
98,10661,10662,Eurasia,Russia,60.5,41.5,RUS
99,10662,10663,Eurasia,Russia,60.5,42.5,RUS
100,10663,10664,Eurasia,Russia,60.5,43.5,RUS
101,10664,10665,Eurasia,Russia,60.5,44.5,RUS
102,10665,10666,Eurasia,Russia,60.5,45.5,RUS
103,10666,10667,Eurasia,Russia,60.5,46.5,RUS
104,10667,10668,Eurasia,Russia,60.5,47.5,RUS
105,10668,10669,Eurasia,Russia,60.5,48.5,RUS
106,10669,10670,Eurasia,Russia,60.5,49.5,RUS
107,10670,10671,Eurasia,Russia,60.5,50.5,RUS
108,10671,10672,Eurasia,Russia,60.5,51.5,RUS
