,name,iso3,1850,1900,1910,1945,1980,2015,SSP1,SSP3,SSP5
0,Afghanistan,AFG,123646798494.03516,158670663859.46875,183214541500.0,313950508158.0088,496860028546.375,502402958805.5,479251675429.875,620487280478.6875,626011138601.4375
1,Albania,ALB,150591391232.0,173152407040.0,250585863168.0,256328808448.0,257709374464.0,175491186688.0,175783211008.0,175760931840.0,175283006976.0
2,Algeria,DZA,525998244277.0,769512415710.0,834681701534.0,1094752326377.0,1491157170672.0,1659517914352.0,2010544703264.0,1814658936896.0,1367726810484.0
3,Angola,AGO,298694288.375,497127295.421875,594613173.015625,3203101324.609375,21144036496.066406,49562520678.84375,62028704100.09375,248021349778.5,248415797176.5
4,Argentina,ARG,8478536794173.047,10655850562592.459,12356555934747.078,16430658092338.615,17356447258019.168,22890652660036.62,23115262798788.94,24014685769596.137,24187457643046.707
5,Armenia,ARM,38621543936.0,98347290624.0,115100490752.0,140017333248.0,288785580032.0,194398606848.0,188673733632.0,314361277440.0,149582672384.0
6,Aruba,ABW,-2.0,-2.0,-2.0,12058.2646484375,44201.93115234375,51628.3291015625,66702.828125,246777.69140625,105518.17578125
7,Australia,AUS,190730908575.0,1968502703581.6562,2881833164338.5137,7365846417050.773,11786076776564.14,11913933071617.422,12166908719919.547,12706662869971.125,11868547726080.602
8,Austria,AUT,1637507717760.0,1942777037952.0,1951718752384.0,1954108840192.0,1805430371328.0,1787427144704.0,1621701305088.0,1632857167872.0,1785298804992.0
9,Azerbaijan,AZE,46442852863.0,95301888456.0,107495945604.0,107495953972.0,145036262272.0,107496631536.0,107493665600.0,107493680832.0,107493283780.0
10,Bahrain,BHR,-1.0,3971540.0,3971540.0,7902010.0,40659492.0,39365616.0,-1.0,12584322.0,-1.0
11,Bangladesh,BGD,1756940779519.0,1917586959716.0,2129121561408.0,2687864335872.0,3178060425216.0,3262118531072.0,3211071617024.0,3251648812032.0,3237999360000.0
12,Belarus,BLR,293269834496.0,917676136960.0,1200362109952.0,1424271700992.0,1869281278976.0,1423304639488.0,1424414494720.0,1424176549888.0,1498625223680.0
13,Belgium,BEL,497053794304.0,543525535744.0,543479709696.0,543343656960.0,496837705728.0,492633718784.0,493024215040.0,492795002880.0,492815040512.0
14,Belize,BLZ,5360339595.25,9067116127.0,9020148191.0,25683579904.0,43481918976.0,53462820864.0,42862869376.0,71429133440.0,44857465344.0
15,Benin,BEN,29854058978.0,33494084262.0,34787855862.0,51064691573.84375,90248483008.0,166991299584.0,197737124864.0,239898418176.0,238316015616.0
16,Bolivia,BOL,18744210072.75,31453312446.46875,45865372240.66089,82746773982.49518,110578985882.64453,127488379023.40704,131747476525.34454,138931872431.8125,133480329370.33594
17,Bosnia and Herzegovina,BIH,6867705344.0,21853624320.0,27900798976.0,27946188800.0,27984455680.0,9620519936.0,9630964736.0,9630215168.0,9611866112.0
18,Botswana,BWA,-32.0,-32.0,-32.0,3199.4876708984375,305341.6218738556,3555162.089538574,3539912.558288574,82787030.61095047,49216299.156412125
19,Brazil,BRA,340612741382.7578,728734201372.0621,928544010628.356,5967685649995.375,13183036376331.68,17409600533448.86,17598914258898.477,20083801515410.164,25783832845782.414
20,Brunei Darussalam,BRN,-3.0,-3.0,-3.0,32343.58984375,41502375.25,76230890.5,682505360.0,1311707832.0,3568447200.0
21,Bulgaria,BGR,738286336000.0,800975478784.0,923881279488.0,1031990738944.0,1091764660224.0,895055211520.0,890557829120.0,936298465280.0,887401689088.0
22,Burkina Faso,BFA,123449230174.78125,144626768059.25,152362181160.875,252377817096.0,436935375936.0,673236916224.0,671105861632.0,779593993216.0,772431364096.0
23,Burma,MMR,1554050219102.0,2894766056201.5,3402653964505.625,4884983518815.844,7372462778881.0,8782686814552.0,8653856171160.0,8734452351992.0,8877677448704.0
24,Burundi,BDI,383475745855.0,535802228668.0,575057036176.0,787077684864.0,1212752342912.0,1694211220480.0,1715082975232.0,1788867801600.0,1781191954432.0
25,Cambodia,KHM,738299194300.0,1310383566141.0,1532194064926.3594,2056220179379.0,2823265230710.5,3279211176051.0,3213224120691.0,3242218293555.0,3272710505794.0
26,Cameroon,CMR,214267370449.0,251561171166.15625,265861684304.28125,415728769534.9375,667602308793.375,881131954715.125,1032344000242.625,1122763619223.875,1108755876487.0
27,Canada,CAN,3923320969368.3125,9976065583619.123,13427116442099.584,23188684213644.586,27276708509559.05,26100731509462.44,24884114724150.98,27404582232109.215,26078489144446.99
28,Central African Republic,CAF,5569222467.7890625,6745878242.7578125,7031710588.0703125,9427039097.5,14460529737.035156,25349215619.25,25172648641.328125,32604913736.732788,32012601507.905273
29,Chad,TCD,28629575990.75,34321472761.0,36047618861.0,57509790324.765625,101336555076.75,178399834009.26758,183160792025.26758,231826839810.98273,227211652541.48273
30,Chile,CHL,3531836450.7304688,12841968824.325684,25883245551.2647,91028658968.62793,126510210321.87064,372797266410.8055,403732115832.82086,506713160306.69904,445973388703.679
31,China,CHN,93039711001920.3,97595602449052.52,99409737188741.06,107804187825694.8,108101211122787.73,121130883167575.95,112572730780543.23,102397765925870.42,126517151629820.48
