,fid,iso3,1850,1900,1910,1945,1980,2015,SSP1,SSP3,SSP5,long,lat
0,8845.0,FIN8845.0,100.0,100.0,100.0,100.0,100.0,100.0,99.43,99.67,92.09,65.5,25.5
1,9204.0,FIN9204.0,87.16,80.55,74.59,71.56,85.38,87.86,87.6,87.6,82.12,64.5,24.5
2,9205.0,FIN9205.0,58.77,55.52,53.28,51.56,56.77,58.73,55.75,55.96,52.31,64.5,25.5
3,9206.0,FIN9206.0,93.28,90.92,90.91,90.81,90.08,92.29,79.11,79.3,70.11,64.5,26.5
4,9207.0,FIN9207.0,100.0,100.0,100.0,100.0,100.0,100.0,98.41,98.49,98.28,64.5,27.5
5,9208.0,FIN9208.0,99.2,99.23,99.23,99.23,99.23,98.93,98.92,98.93,96.13,64.5,28.5
6,9561.0,FIN9561.0,74.67,57.54,32.42,23.09,70.27,75.13,70.44,71.9,61.81,63.5,21.5
7,9562.0,FIN9562.0,64.68,27.99,15.11,11.7,61.73,65.57,58.83,59.41,49.47,63.5,22.5
8,9563.0,FIN9563.0,77.89,35.61,21.62,17.96,73.9,78.63,72.28,72.46,62.59,63.5,23.5
9,9564.0,FIN9564.0,65.66,57.88,52.41,47.8,61.8,65.42,61.07,61.4,53.89,63.5,24.5
10,9565.0,FIN9565.0,73.71,70.56,64.99,60.65,71.33,73.56,71.04,71.4,63.31,63.5,25.5
11,9566.0,FIN9566.0,98.88,70.63,53.37,47.2,95.9,98.87,90.57,90.87,83.52,63.5,26.5
12,9567.0,FIN9567.0,99.51,83.94,67.91,60.04,97.31,99.68,96.39,96.58,93.41,63.5,27.5
13,9568.0,FIN9568.0,99.31,93.0,83.61,79.76,97.71,99.18,93.38,93.34,88.43,63.5,28.5
14,9569.0,FIN9569.0,99.34,97.35,97.35,97.35,97.26,99.41,83.28,83.63,78.15,63.5,29.5
15,9570.0,FIN9570.0,100.0,100.0,100.0,100.0,99.99,100.0,88.32,88.56,84.47,63.5,30.5
16,9921.0,FIN9921.0,72.05,58.65,39.64,30.72,68.82,70.78,67.32,67.62,57.68,62.5,21.5
17,9922.0,FIN9922.0,64.04,39.79,20.7,15.15,60.13,62.6,56.29,56.43,47.83,62.5,22.5
18,9923.0,FIN9923.0,81.3,40.64,22.0,15.39,79.14,81.01,76.95,77.45,67.82,62.5,23.5
19,9924.0,FIN9924.0,98.06,94.8,80.88,77.31,97.19,98.06,77.17,77.2,69.51,62.5,24.5
20,9925.0,FIN9925.0,99.49,97.35,97.35,97.35,97.35,99.51,95.45,95.59,92.29,62.5,25.5
21,9926.0,FIN9926.0,99.94,84.54,72.42,67.19,99.81,99.94,98.76,98.93,93.88,62.5,26.5
22,9927.0,FIN9927.0,100.0,97.13,93.15,89.93,99.09,100.0,99.94,99.94,99.11,62.5,27.5
23,9928.0,FIN9928.0,99.98,87.7,70.66,64.94,97.99,99.98,99.94,99.96,99.06,62.5,28.5
24,9929.0,FIN9929.0,97.28,93.07,93.07,93.07,92.76,96.83,92.04,92.43,85.89,62.5,29.5
25,9930.0,FIN9930.0,100.0,99.91,99.77,99.77,99.92,100.0,96.74,96.93,94.45,62.5,30.5
26,9931.0,FIN9931.0,100.0,100.0,100.0,100.0,100.0,100.0,98.12,98.12,98.12,62.5,31.5
27,10281.0,FIN10281.0,65.4,64.5,64.43,64.43,60.9,61.67,62.36,62.13,59.82,61.5,21.5
28,10282.0,FIN10282.0,74.41,72.5,72.41,72.39,71.86,73.73,66.7,67.03,58.46,61.5,22.5
29,10283.0,FIN10283.0,84.04,81.54,81.54,81.54,81.34,83.83,79.05,79.23,71.42,61.5,23.5
30,10284.0,FIN10284.0,86.58,84.22,84.18,84.1,83.66,85.91,83.81,83.93,77.71,61.5,24.5
31,10285.0,FIN10285.0,88.83,84.97,84.97,84.97,84.78,88.67,85.88,86.05,81.29,61.5,25.5
32,10286.0,FIN10286.0,98.88,97.21,97.21,97.21,97.21,98.86,97.48,97.64,87.57,61.5,26.5
33,10287.0,FIN10287.0,100.0,100.0,100.0,100.0,100.0,100.0,99.87,99.88,98.72,61.5,27.5
34,10288.0,FIN10288.0,90.59,87.61,87.8,87.8,87.34,90.61,87.82,88.44,82.98,61.5,28.5
35,10289.0,FIN10289.0,100.0,99.76,99.77,99.68,99.77,100.0,99.41,99.44,97.96,61.5,29.5
36,10290.0,FIN10290.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.93,61.5,30.5
37,10641.0,FIN10641.0,68.27,61.66,61.6,61.51,59.94,66.74,67.15,67.18,64.16,60.5,21.5
38,10642.0,FIN10642.0,69.45,65.65,65.65,65.65,65.35,69.17,66.34,66.64,58.74,60.5,22.5
39,10643.0,FIN10643.0,70.59,65.53,65.52,65.52,64.89,69.97,65.01,65.22,57.11,60.5,23.5
40,10644.0,FIN10644.0,81.19,77.11,77.11,77.11,76.74,80.86,72.3,72.73,68.15,60.5,24.5
41,10645.0,FIN10645.0,82.88,76.55,76.54,76.54,75.69,82.02,81.39,81.57,77.52,60.5,25.5
42,10646.0,FIN10646.0,86.99,82.74,82.72,82.72,81.99,86.18,80.76,81.12,74.4,60.5,26.5
43,10647.0,FIN10647.0,95.95,94.13,94.14,94.14,94.12,95.98,94.33,94.74,86.64,60.5,27.5
44,10648.0,FIN10648.0,99.98,99.93,99.94,99.94,99.94,99.98,96.36,96.38,95.85,60.5,28.5
45,11003.0,FIN11003.0,100.0,99.65,99.5,95.31,96.03,99.93,99.3,99.3,97.25,59.5,23.5
46,11004.0,FIN11004.0,93.26,84.17,82.6,81.29,85.17,91.74,97.32,97.09,89.84,59.5,24.5
47,9582.0,RUS9582.0,0.0,0.0,99.73,99.73,99.73,99.73,99.73,99.73,99.73,63.5,42.5
48,9932.0,RUS9932.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,32.5
49,9933.0,RUS9933.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,33.5
50,9935.0,RUS9935.0,0.0,0.0,99.54,99.54,99.54,99.54,100.0,100.0,100.0,62.5,35.5
51,9936.0,RUS9936.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,36.5
52,9938.0,RUS9938.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,62.5,38.5
53,9939.0,RUS9939.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,62.5,39.5
54,9940.0,RUS9940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,40.5
55,9941.0,RUS9941.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,41.5
56,9942.0,RUS9942.0,0.0,100.0,98.8,98.78,98.58,98.43,98.43,98.43,98.43,62.5,42.5
57,9943.0,RUS9943.0,0.0,100.0,98.51,98.51,98.53,98.51,98.51,98.51,98.51,62.5,43.5
58,9944.0,RUS9944.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,62.5,44.5
59,9945.0,RUS9945.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,62.5,45.5
60,9950.0,RUS9950.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,62.5,50.5
61,10291.0,RUS10291.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,61.5,31.5
