,fid,iso3,1850,1900,1910,1945,1980,2015,SSP1,SSP3,SSP5,long,lat
0,8845.0,FIN8845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.5,25.5
1,9204.0,FIN9204.0,15.7,22.68,29.68,33.24,17.07,14.81,15.18,15.18,20.29,64.5,24.5
2,9205.0,FIN9205.0,50.16,54.55,56.51,57.82,53.5,50.32,52.56,52.26,55.42,64.5,25.5
3,9206.0,FIN9206.0,9.35,13.22,13.24,13.27,14.96,11.3,23.73,23.55,31.67,64.5,26.5
4,9207.0,FIN9207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.5,27.5
5,9208.0,FIN9208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.5,28.5
6,9561.0,FIN9561.0,27.68,55.99,83.61,90.41,34.52,27.58,31.39,29.72,42.53,63.5,21.5
7,9562.0,FIN9562.0,43.06,75.2,85.85,88.52,46.04,42.11,48.71,48.25,56.88,63.5,22.5
8,9563.0,FIN9563.0,30.4,64.59,78.26,81.79,36.68,30.91,38.79,38.65,48.89,63.5,23.5
9,9564.0,FIN9564.0,43.13,49.76,53.59,57.47,47.9,43.6,47.99,47.51,54.25,63.5,24.5
10,9565.0,FIN9565.0,32.02,35.52,42.22,47.12,34.54,32.13,34.29,33.95,42.17,63.5,25.5
11,9566.0,FIN9566.0,1.43,32.6,49.53,55.77,4.87,1.44,12.66,12.31,21.24,63.5,26.5
12,9567.0,FIN9567.0,0.38,14.15,30.98,38.94,2.98,0.3,1.84,1.68,4.85,63.5,27.5
13,9568.0,FIN9568.0,0.68,5.44,15.12,18.91,1.74,0.81,6.65,6.67,10.9,63.5,28.5
14,9569.0,FIN9569.0,1.39,4.2,4.2,4.2,4.28,1.25,16.4,15.78,24.6,63.5,29.5
15,9570.0,FIN9570.0,0.0,0.0,0.0,0.0,0.0,0.0,15.94,15.78,19.55,63.5,30.5
16,9921.0,FIN9921.0,50.0,50.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,62.5,21.5
17,9922.0,FIN9922.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,22.5
18,9923.0,FIN9923.0,34.68,49.99,66.2,73.32,38.7,36.41,38.11,37.93,45.7,62.5,23.5
19,9924.0,FIN9924.0,39.67,62.61,81.69,87.03,43.61,41.34,46.74,46.67,55.03,62.5,24.5
20,9925.0,FIN9925.0,20.99,63.05,82.59,88.44,23.26,21.1,25.23,24.51,35.45,62.5,25.5
