,fid,iso3,1850,1900,1910,1945,1980,2015,SSP1,SSP3,SSP5,long,lat
0,8845.0,FIN8845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.5,25.5
1,9204.0,FIN9204.0,16.28,23.3,30.52,34.2,17.55,15.34,15.74,15.74,20.8,64.5,24.5
2,9205.0,FIN9205.0,51.49,56.09,58.01,59.27,55.04,51.66,53.8,53.47,56.57,64.5,25.5
3,9206.0,FIN9206.0,9.87,14.06,14.09,14.09,16.0,12.01,24.2,24.01,31.88,64.5,26.5
4,9207.0,FIN9207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.5,27.5
5,9208.0,FIN9208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.5,28.5
6,9561.0,FIN9561.0,28.0,58.44,86.65,92.97,35.34,28.01,31.63,29.91,43.29,63.5,21.5
7,9562.0,FIN9562.0,44.18,75.65,85.99,88.57,47.16,43.21,49.82,49.36,57.85,63.5,22.5
8,9563.0,FIN9563.0,31.57,64.36,78.15,81.7,38.21,32.26,40.44,40.3,50.61,63.5,23.5
9,9564.0,FIN9564.0,44.55,50.95,54.57,58.36,49.49,45.06,49.51,49.0,55.62,63.5,24.5
10,9565.0,FIN9565.0,32.91,36.49,43.38,48.38,35.47,33.01,35.1,34.77,43.02,63.5,25.5
11,9566.0,FIN9566.0,1.5,33.25,49.95,56.15,5.03,1.51,13.27,12.91,22.15,63.5,26.5
12,9567.0,FIN9567.0,0.35,13.15,30.22,38.22,3.09,0.3,1.37,1.23,4.35,63.5,27.5
13,9568.0,FIN9568.0,0.01,0.51,10.94,13.22,0.01,0.01,0.44,0.43,0.67,63.5,28.5
14,9569.0,FIN9569.0,2.25,5.97,5.97,5.97,5.97,2.07,16.23,15.28,27.48,63.5,29.5
15,9570.0,FIN9570.0,0.0,0.0,0.0,0.0,0.0,0.0,15.94,15.78,19.55,63.5,30.5
16,9921.0,FIN9921.0,50.0,50.0,0.26,0.26,0.26,0.26,0.26,0.26,0.26,62.5,21.5
17,9922.0,FIN9922.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,22.5
18,9923.0,FIN9923.0,35.61,51.25,67.1,73.95,39.72,37.41,38.9,38.73,46.21,62.5,23.5
19,9924.0,FIN9924.0,40.16,62.96,82.05,87.37,44.1,41.85,47.14,47.07,55.41,62.5,24.5
20,9925.0,FIN9925.0,21.27,63.53,83.17,88.91,23.55,21.35,25.52,24.76,35.91,62.5,25.5
21,9926.0,FIN9926.0,2.13,8.42,37.8,43.2,3.22,2.13,39.92,39.89,48.52,62.5,26.5
22,9927.0,FIN9927.0,0.53,2.85,2.85,2.85,2.85,0.48,0.56,0.55,1.15,62.5,27.5
23,9928.0,FIN9928.0,0.12,20.33,30.52,36.42,0.38,0.12,0.55,0.39,4.79,62.5,28.5
24,9929.0,FIN9929.0,0.0,23.4,23.52,24.44,11.72,0.0,0.0,0.0,0.14,62.5,29.5
25,9930.0,FIN9930.0,0.0,1.59,4.43,5.14,0.24,0.0,0.0,0.0,0.03,62.5,30.5
26,9931.0,FIN9931.0,3.79,9.88,9.88,9.88,10.34,4.39,9.21,8.79,16.34,62.5,31.5
27,10281.0,FIN10281.0,0.0,0.16,0.38,0.38,0.15,0.0,1.65,1.47,3.01,61.5,21.5
28,10282.0,FIN10282.0,0.0,0.0,0.0,0.0,0.0,0.0,1.74,1.74,1.74,61.5,22.5
29,10283.0,FIN10283.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.5,23.5
30,10284.0,FIN10284.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.5,24.5
31,10285.0,FIN10285.0,50.0,50.0,0.46,0.46,0.46,0.46,0.0,0.0,0.0,61.5,25.5
32,10286.0,FIN10286.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.5,26.5
33,10287.0,FIN10287.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.5,27.5
