,name,date,AFG,ALB,DZA,AGO,ARG,ARM,ABW,AUS,AUT,AZE,BHR,BGD,BLR,BEL,BLZ,BEN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,MMR,BDI,KHM,CMR,CAN,CAF,TCD,CHL,CHN,COL,COG,CRI,CIV,HRV,CUB,CYP,CZE,COD,DNK,DJI,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FIN,FRA,GUF,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GTM,GIN,GNB,GUY,HTI,HND,HUN,IND,IDN,IRN,IRQ,IRL,IMN,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,PRK,KOR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LTU,MDG,MWI,MYS,MLI,MLT,MRT,MEX,MNG,MNE,MAR,MOZ,NAM,NPL,NLD,NZL,NIC,NER,NGA,NOR,OMN,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,PRI,MDA,ROU,RUS,RWA,SAU,SEN,SRB,SLE,SVK,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,SYR,TWN,TJK,THA,MKD,TLS,TTO,TUN,TUR,TKM,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VEN,VNM,YEM,ZMB,ZWE,WLD
1,Pollination Contribution,1,67.22,32.18000000000001,42.21,51.98,70.14,14.260000000000005,50.0,50.71,16.319999999999993,9.349999999999994,50.0,12.629999999999995,60.45,18.090000000000003,92.87,24.53,57.22,62.87,50.0,60.22,50.0,74.82,1.6800000000000068,59.62,56.46,49.87,51.52,57.08,45.72,52.54,53.1,37.77,50.34,52.08,94.31,53.98,72.78,96.09,68.81,51.12,60.7,30.33,50.0,76.51,61.22,42.8,69.72,50.0,51.45,81.71000000000001,33.55,88.12,26.930000000000007,50.0,52.38,2.450000000000003,14.530000000000001,39.58,46.56,9.909999999999997,53.82,92.59,51.27,40.0,64.28999999999999,96.49,91.53,53.42,47.98,82.75,43.9,46.64,28.730000000000004,11.170000000000002,32.760000000000005,40.61,99.34,67.07,46.56,54.93,38.7,68.97,67.31,8.189999999999998,31.099999999999994,56.39,94.84,31.200000000000003,37.7,83.99,59.95,62.5,58.62,40.17,63.12,36.5,19.590000000000003,54.68,60.47,79.55,53.03,25.97,49.43,50.0,70.38,15.709999999999994,50.0,78.42,47.02,41.36,67.63,79.53999999999999,43.56,80.38,82.28999999999999,79.68,53.09,55.25,41.3,26.260000000000005,79.96000000000001,61.15,38.31,59.96,7.579999999999998,67.19,17.489999999999995,39.17,85.43,65.81,50.0,49.91,60.37,34.31999999999999,81.02,47.08,50.0,26.33,60.28,14.409999999999997,65.83,0.730000000000004,58.14,54.42,91.43,66.67,20.540000000000006,58.15,15.189999999999998,46.42,68.83,33.34,27.930000000000007,36.02,62.7,58.54,10.36,56.22,69.0,47.92,53.67,14.780000000000001,51.01
2,Pollination Contribution,2,69.57,17.290000000000006,23.689999999999998,51.32,62.0,8.840000000000003,50.0,41.75,12.829999999999998,8.849999999999994,100.0,10.840000000000003,43.02,15.430000000000007,91.98,21.010000000000005,62.48,6.239999999999995,50.0,61.75,50.0,59.51,1.3100000000000023,55.02,62.2,46.89,52.63,56.41,45.27,48.63,60.45,38.66,47.85,54.17,98.22,53.54,56.91,93.06,53.67,22.78,62.42,28.159999999999997,50.0,76.65,65.09,39.87,60.15,50.0,52.52,71.82,30.810000000000002,80.72,22.099999999999994,50.0,54.76,1.5,6.420000000000002,35.790000000000006,46.54,7.909999999999997,47.5,91.2,52.93,60.01,64.28999999999999,94.41,89.85,33.67,46.55,86.78999999999999,36.37,39.48,29.53,12.61,38.2,35.769999999999996,98.92,64.61,46.03,51.47,39.66,71.33,70.83,1.8400000000000034,27.560000000000002,65.7,81.09,16.64,16.03,86.3,52.31,38.0,64.35,38.52,65.67,35.06999999999999,18.049999999999997,51.58,60.02,85.35,29.120000000000005,14.89,49.6,51.67,44.83,14.769999999999996,50.0,81.48,43.38,40.65,55.09,81.62,43.25,79.03999999999999,89.86,81.71000000000001,61.73,66.62,31.189999999999998,20.310000000000002,77.07,51.69,23.08,56.11,5.689999999999998,67.96000000000001,16.989999999999995,13.549999999999997,85.23,34.64,100.0,45.83,66.03,25.97,79.64,46.72,50.0,17.849999999999994,47.77,8.370000000000005,66.56,0.6700000000000017,52.12,27.5,90.58,66.65,12.799999999999997,56.8,13.14,45.01,54.15,33.33,24.849999999999994,34.56999999999999,54.14,21.47,9.299999999999997,64.47,60.23,41.72,55.12,13.079999999999998,47.62
3,Pollination Contribution,3,71.58,16.040000000000006,21.879999999999995,52.03,56.5,8.180000000000007,50.0,34.650000000000006,12.569999999999993,3.719999999999999,100.0,12.379999999999995,40.11,15.040000000000006,91.16,20.510000000000005,67.82,3.3499999999999943,50.0,61.48,50.0,50.37,1.2099999999999937,56.17,61.85,48.64,54.29,55.7,45.27,47.79,66.22999999999999,37.2,45.17,54.17,97.91,53.46,54.14,90.34,49.56,21.590000000000003,64.3,27.75,50.0,73.49,72.44,38.91,56.23,50.0,52.72,67.41,30.159999999999997,76.03999999999999,21.439999999999998,50.0,54.76,1.4200000000000017,5.950000000000003,35.379999999999995,46.27,7.819999999999993,45.77,91.0,51.89,60.01,67.86,93.45,88.97,31.0,46.32,84.91,34.81999999999999,37.41,29.400000000000006,12.579999999999998,38.7,33.510000000000005,98.92,64.08,52.97,48.88,38.22,71.81,71.11,0.6700000000000017,25.269999999999996,69.93,74.94,13.530000000000001,9.900000000000006,92.17,48.66,32.31,62.55,38.73,67.56,34.89,17.650000000000006,50.64,58.41,87.03999999999999,29.819999999999993,12.680000000000007,50.1,51.67,41.49,14.269999999999996,50.0,81.02,40.18,40.29,48.25,81.62,41.01,78.49,92.06,74.11,69.49,67.5,29.36,17.290000000000006,75.25,44.9,20.58,51.31,5.510000000000005,67.77000000000001,16.83,9.5,85.2,31.189999999999998,100.0,44.23,60.83,23.819999999999993,78.16,45.69,58.33,13.290000000000006,44.2,8.239999999999995,63.91,0.6299999999999955,53.49,21.86,89.03,66.65,11.560000000000002,56.65,10.879999999999995,47.15,47.33,33.33,23.989999999999995,35.86,50.36,13.480000000000004,9.370000000000005,66.81,55.43,41.15,55.62,11.370000000000005,46.62
4,Pollination Contribution,4,76.93,18.17,18.799999999999997,51.28,45.19,8.379999999999995,75.0,25.739999999999995,12.340000000000003,3.6500000000000057,100.0,10.959999999999994,38.68,13.829999999999998,81.01,4.519999999999996,76.73,5.090000000000003,50.0,66.46000000000001,66.67,47.63,1.1099999999999994,60.57,50.41,49.12,55.05,55.07,45.54,46.11,76.6,37.01,40.1,66.2,89.87,51.85,55.7,72.68,50.31,21.269999999999996,74.23,27.17,50.0,51.9,52.41,33.510000000000005,42.38,50.0,51.56,68.19,33.150000000000006,74.07,20.950000000000003,100.0,64.25,1.8700000000000045,8.090000000000003,34.7,47.08,7.799999999999997,43.8,84.09,42.36,68.88,67.24000000000001,41.11,78.19,32.67,43.63,78.45,27.950000000000003,27.459999999999994,29.340000000000003,12.579999999999998,33.489999999999995,32.78,94.63,58.46,44.44,39.42,35.45,66.44,66.32,0.0,15.86,68.91,71.98,3.2900000000000063,1.9599999999999937,91.85,53.49,29.790000000000006,62.72,35.849999999999994,77.38,20.230000000000004,17.290000000000006,43.8,51.68,92.39,32.739999999999995,12.290000000000006,46.79,52.71,12.909999999999997,13.849999999999994,41.41,81.85,39.47,29.310000000000002,46.96,82.2,37.41,81.57,93.58,69.67,83.28,72.98,28.319999999999993,16.599999999999994,66.56,38.57,20.459999999999994,52.28,4.700000000000003,71.82,16.439999999999998,11.909999999999997,85.36,31.980000000000004,100.0,26.290000000000006,27.299999999999997,22.310000000000002,71.12,42.16,66.67,4.1299999999999955,43.08,6.329999999999998,61.26,0.7399999999999949,50.85,26.060000000000002,77.84,81.0,10.170000000000002,50.16,8.599999999999994,42.37,42.63,50.0,23.590000000000003,26.040000000000006,36.78,13.200000000000003,0.4099999999999966,47.64,50.46,38.52,56.32,19.75,44.46
5,Pollination Contribution,5,69.92,24.319999999999993,9.099999999999994,51.29,36.71,8.870000000000005,100.0,18.58,14.319999999999993,8.510000000000005,79.85,6.569999999999993,30.83,15.959999999999994,63.14,4.799999999999997,66.47,14.799999999999997,57.73,58.08,99.91,45.99,1.1500000000000057,55.28,32.0,45.17,54.75,53.24,41.75,46.97,72.51,26.709999999999994,39.3,86.28999999999999,69.12,31.47,59.15,30.260000000000005,54.71,21.909999999999997,86.28,27.36,50.0,33.39,38.41,26.879999999999995,25.909999999999997,100.0,34.010000000000005,75.12,29.959999999999994,85.48,26.489999999999995,100.0,84.96000000000001,4.290000000000006,8.049999999999997,35.78,35.31,10.099999999999994,51.43,76.66,13.090000000000003,36.85,79.27,6.760000000000005,63.92,36.55,36.95,75.85,17.519999999999996,17.540000000000006,28.629999999999995,12.620000000000005,29.92,40.53,54.64,71.95,41.04,17.180000000000007,26.060000000000002,67.11,75.55,0.0,1.5600000000000023,68.82,77.34,1.3799999999999955,2.4200000000000017,71.48,51.61,32.44,46.56,29.269999999999996,89.37,20.5,19.39,19.47,38.3,92.05,40.75,11.010000000000005,40.49,45.63,3.4200000000000017,11.840000000000003,14.129999999999995,61.13,36.72,15.040000000000006,65.47,42.9,31.709999999999994,56.23,93.18,62.88,67.16,79.92,26.590000000000003,26.430000000000007,35.93000000000001,28.200000000000003,21.409999999999997,57.55,4.909999999999997,61.17,4.540000000000006,17.290000000000006,69.03999999999999,39.35,100.0,24.53,16.08,34.5,48.99,37.77,83.33,4.930000000000007,59.98,5.280000000000001,23.39,0.9399999999999977,46.91,37.18,69.68,97.25,4.159999999999997,41.51,8.209999999999994,37.76,32.39,66.74000000000001,25.400000000000006,19.310000000000002,37.22,13.0,0.39000000000000057,37.63,43.99,41.61,54.35,18.349999999999994,40.8
6,Pollination Contribution,6,69.01,33.47,8.760000000000005,52.43,33.120000000000005,7.609999999999999,100.0,17.83,22.28,12.569999999999993,10.879999999999995,3.2900000000000063,33.93000000000001,11.959999999999994,51.69,3.1899999999999977,53.81,71.61,70.85,55.19,98.48,61.53,1.269999999999996,44.01,21.939999999999998,34.67,46.74,56.23,39.2,40.91,78.48,23.689999999999998,33.64,86.56,61.61,24.209999999999994,73.3,23.67,66.6,28.569999999999993,86.21000000000001,36.57,100.0,27.349999999999994,32.33,21.989999999999995,20.480000000000004,100.0,31.42,87.06,27.33,87.83,32.66,99.48,90.94,4.950000000000003,5.969999999999999,40.03,30.28,23.120000000000005,62.64,63.29,5.310000000000002,24.36,79.15,3.9399999999999977,56.22,41.76,35.7,68.09,10.489999999999995,15.489999999999995,34.94,11.290000000000006,28.78,48.95,43.26,80.5,40.38,12.280000000000001,21.790000000000006,68.53,76.44,0.0,1.3799999999999955,57.53,86.81,1.2199999999999989,2.489999999999995,59.59,47.39,49.74,35.58,23.909999999999997,86.36,19.930000000000007,35.45,13.459999999999994,34.489999999999995,97.16,60.86,11.019999999999996,37.45,34.42,3.1599999999999966,12.280000000000001,15.5,54.48,34.36,9.870000000000005,74.06,24.400000000000006,31.879999999999995,47.64,92.65,61.18,58.31,74.46000000000001,32.75,41.32,22.849999999999994,33.31999999999999,33.18000000000001,58.07,4.519999999999996,48.82,6.049999999999997,37.54,39.53,46.35,99.46,19.159999999999997,17.92,48.61,45.59,29.310000000000002,83.26,4.489999999999995,73.14,4.3700000000000045,11.719999999999999,0.9399999999999977,32.56999999999999,54.98,45.98,96.67,3.469999999999999,38.87,8.209999999999994,33.269999999999996,38.0,38.08,30.909999999999997,16.540000000000006,39.68,9.049999999999997,0.39000000000000057,31.97,27.629999999999995,27.03,51.92,17.510000000000005,39.9
7,Pollination Contribution,7,70.14,36.56,1.0600000000000023,64.22,36.91,8.400000000000006,100.0,17.86,31.620000000000005,15.510000000000005,50.0,4.519999999999996,39.35,15.670000000000002,68.42,3.25,65.31,79.91,72.33,56.18,99.0,63.7,1.269999999999996,44.37,22.230000000000004,35.760000000000005,52.51,59.71,31.0,43.45,79.69,26.86,38.05,85.1,75.22,23.58,75.07,38.04,68.14,35.2,86.92,42.48,100.0,34.769999999999996,37.3,6.900000000000006,26.290000000000006,99.64,30.870000000000005,88.69,24.900000000000006,83.96000000000001,41.61,100.0,91.56,5.060000000000002,7.230000000000004,46.39,28.540000000000006,30.230000000000004,65.02000000000001,80.25,5.519999999999996,26.159999999999997,79.14,10.010000000000005,70.53999999999999,51.41,36.24,72.94,3.430000000000007,10.89,37.27,11.129999999999995,4.340000000000003,55.76,66.57,79.82,21.349999999999994,13.670000000000002,21.200000000000003,71.07,77.91,0.0,1.8799999999999955,58.59,86.65,1.2399999999999949,2.3599999999999994,58.72,1.4099999999999966,54.87,25.980000000000004,23.620000000000005,89.22,19.560000000000002,40.94,15.079999999999998,40.06,92.05,77.17,9.420000000000002,43.73,37.78,3.280000000000001,14.430000000000007,13.129999999999995,67.39,35.599999999999994,10.379999999999995,78.9,8.629999999999995,29.849999999999994,66.03999999999999,93.51,61.72,63.92,74.45,37.81,52.88,30.049999999999997,39.97,41.28,60.95,4.230000000000004,19.89,6.049999999999997,43.44,43.12,72.99,100.0,19.22,17.86,53.75,52.25,23.409999999999997,83.25,4.310000000000002,74.53999999999999,4.409999999999997,24.459999999999994,0.7999999999999972,30.64,64.11,71.93,96.17,0.6700000000000017,43.88,8.040000000000006,31.950000000000003,43.8,24.700000000000003,35.8,19.790000000000006,43.2,8.89,0.39000000000000057,36.94,30.0,14.510000000000005,57.22,17.060000000000002,42.05
8,Pollination Contribution,8,60.57,36.21,1.5499999999999972,7.060000000000002,31.14,7.480000000000004,100.0,16.930000000000007,24.319999999999993,15.599999999999994,0.0,3.319999999999993,38.22,13.459999999999994,49.18,3.049999999999997,49.16,79.31,48.27,50.58,96.84,59.62,1.3700000000000045,41.6,8.450000000000003,34.7,13.739999999999995,53.01,12.019999999999996,18.409999999999997,75.51,26.42,35.06,53.68,63.61,16.260000000000005,75.68,25.730000000000004,68.03999999999999,51.84,73.69,37.34,100.0,28.209999999999994,30.959999999999994,8.0,21.569999999999993,78.78,14.319999999999993,88.42,11.810000000000002,84.17,32.56,98.73,86.59,5.1200000000000045,10.340000000000003,40.2,15.39,20.379999999999995,60.98,56.83,3.1899999999999977,7.1200000000000045,90.89,4.859999999999999,52.2,53.3,4.810000000000002,64.15,2.3100000000000023,10.549999999999997,35.19,10.689999999999998,4.6299999999999955,49.89,45.18,82.37,21.36,12.680000000000007,14.319999999999993,65.87,75.17,0.0,1.4899999999999949,57.17,86.49,1.0600000000000023,2.6099999999999994,38.14,6.670000000000002,54.74,3.450000000000003,5.090000000000003,85.53,13.739999999999995,31.810000000000002,3.6700000000000017,34.36,86.36,76.13,9.849999999999994,12.980000000000004,19.400000000000006,2.3299999999999983,12.719999999999999,13.159999999999997,53.29,8.790000000000006,4.6200000000000045,73.62,1.3499999999999943,17.349999999999994,51.52,92.78,60.93,49.38,71.8,43.82,39.29,22.08,38.35,40.75,61.83,3.469999999999999,6.920000000000002,6.730000000000004,42.96,16.700000000000003,72.17,99.41,7.590000000000003,11.61,47.44,35.459999999999994,12.819999999999993,99.75,4.019999999999996,70.15,3.430000000000007,25.480000000000004,0.7999999999999972,29.67,63.5,42.46,96.26,0.8299999999999983,35.36,8.049999999999997,21.599999999999994,43.39,2.519999999999996,29.840000000000003,10.689999999999998,35.519999999999996,8.319999999999993,0.39000000000000057,29.930000000000007,27.590000000000003,11.340000000000003,23.370000000000005,12.969999999999999,35.019999999999996
9,Pollination Contribution,9,64.97999999999999,31.790000000000006,7.829999999999998,45.45,32.010000000000005,7.489999999999995,100.0,18.379999999999995,18.370000000000005,10.810000000000002,50.0,5.290000000000006,33.239999999999995,13.650000000000006,58.73,3.030000000000001,50.98,64.92,66.43,52.93,89.34,60.27,1.3199999999999932,45.21,14.540000000000006,37.56,28.0,55.45,21.200000000000003,20.61,76.46000000000001,24.14,33.89,64.03999999999999,62.01,18.47,70.95,23.879999999999995,62.87,26.560000000000002,79.03999999999999,36.05,100.0,27.47,29.290000000000006,17.58,19.849999999999994,91.82,28.28,82.6,20.939999999999998,78.75,27.86,98.88,92.44,5.109999999999999,5.909999999999997,38.08,20.379999999999995,21.349999999999994,59.99,72.5,4.219999999999999,12.370000000000005,78.76,4.409999999999997,56.45,33.120000000000005,22.900000000000006,69.83,6.590000000000003,14.069999999999993,35.93000000000001,10.409999999999997,18.019999999999996,41.92,43.25,75.67,35.03,12.170000000000002,16.14,67.05,75.78999999999999,0.0,1.3900000000000006,60.35,83.13,1.2000000000000028,2.3799999999999955,43.9,37.91,44.0,14.739999999999995,15.569999999999993,81.53999999999999,15.219999999999999,32.72,7.450000000000003,35.25,98.21,53.38,10.930000000000007,32.16,22.629999999999995,2.760000000000005,12.040000000000006,16.239999999999995,54.57,20.409999999999997,4.739999999999995,71.99,18.47,23.340000000000003,49.18,92.7,60.98,53.0,70.82,30.61,38.29,22.209999999999994,32.58,31.060000000000002,57.89,4.340000000000003,26.939999999999998,6.730000000000004,34.94,21.89,45.16,99.41,15.620000000000005,15.11,45.5,37.98,18.409999999999997,83.16,4.390000000000001,66.4,3.989999999999995,15.519999999999996,0.8900000000000006,28.790000000000006,52.6,64.07,96.26,2.3900000000000006,37.69,7.700000000000003,22.349999999999994,36.95,46.72,29.42,14.150000000000006,38.05,8.689999999999998,0.37999999999999545,31.0,34.5,23.370000000000005,40.41,14.730000000000004,37.01
1,Unmet Need,1,32.78,67.82,57.79,48.02,29.86,85.74,50.0,49.29,83.68,90.65,50.0,87.37,39.55,81.91,7.13,75.47,42.78,37.13,50.0,39.78,50.0,25.18,98.32,40.38,43.54,50.13,48.48,42.92,54.28,47.46,46.9,62.23,49.66,47.92,5.69,46.02,27.22,3.91,31.19,48.88,39.3,69.67,50.0,23.49,38.78,57.2,30.28,50.0,48.55,18.29,66.45,11.88,73.07,50.0,47.62,97.55,85.47,60.42,53.44,90.09,46.18,7.41,48.73,60.0,35.71,3.51,8.47,46.58,52.02,17.25,56.1,53.36,71.27,88.83,67.24,59.39,0.66,32.93,53.44,45.07,61.3,31.03,32.69,91.81,68.9,43.61,5.16,68.8,62.3,16.01,40.05,37.5,41.38,59.83,36.88,63.5,80.41,45.32,39.53,20.45,46.97,74.03,50.57,50.0,29.62,84.29,50.0,21.58,52.98,58.64,32.37,20.46,56.44,19.62,17.71,20.32,46.91,44.75,58.7,73.74,20.04,38.85,61.69,40.04,92.42,32.81,82.51,60.83,14.57,34.19,50.0,50.09,39.63,65.68,18.98,52.92,50.0,73.67,39.72,85.59,34.17,99.27,41.86,45.58,8.57,33.33,79.46,41.85,84.81,53.58,31.17,66.66,72.07,63.98,37.3,41.46,89.64,43.78,31.0,52.08,46.33,85.22,48.99
