,name,date,AFG,ALB,DZA,AGO,ARG,ARM,ABW,AUS,AUT,AZE,BHR,BGD,BLR,BEL,BLZ,BEN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,MMR,BDI,KHM,CMR,CAN,CAF,TCD,CHL,CHN,COL,COG,CRI,CIV,HRV,CUB,CYP,CZE,COD,DNK,DJI,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FIN,FRA,GUF,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GTM,GIN,GNB,GUY,HTI,HND,HUN,IND,IDN,IRN,IRQ,IRL,IMN,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,PRK,KOR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LTU,MDG,MWI,MYS,MLI,MLT,MRT,MEX,MNG,MNE,MAR,MOZ,NAM,NPL,NLD,NZL,NIC,NER,NGA,NOR,OMN,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,PRI,MDA,ROU,RUS,RWA,SAU,SEN,SRB,SLE,SVK,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,SYR,TWN,TJK,THA,MKD,TLS,TTO,TUN,TUR,TKM,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VEN,VNM,YEM,ZMB,ZWE,WLD
1,Pollination Contribution,1,67.88,33.09,44.68,56.25,70.12,12.030000000000001,50.0,50.71,17.930000000000007,9.379999999999995,50.0,12.659999999999997,60.44,17.75,93.44,28.599999999999994,56.94,64.0,50.0,60.29,50.0,74.07,0.980000000000004,59.66,54.24,49.56,53.25,60.44,45.39,48.9,53.09,37.57,52.03,52.08,94.62,55.86,72.59,96.09,68.76,53.08,61.28,27.61,50.0,77.03,61.27,42.75,70.25,50.0,51.76,77.84,34.86,85.78999999999999,24.5,50.0,52.38,3.1700000000000017,15.060000000000002,37.74,46.58,9.150000000000006,54.19,90.16,51.27,40.0,64.28999999999999,96.48,92.8,51.52,47.91,82.81,43.63,59.53,52.08,15.519999999999996,32.05,40.44,99.33,67.02000000000001,48.81,55.24,39.68,69.63,67.05,8.189999999999998,31.060000000000002,56.27,94.56,28.930000000000007,38.71,84.56,59.9,63.64,59.54,41.29,63.18,35.75,19.090000000000003,54.44,60.17,79.55,52.49,25.689999999999998,49.98,50.0,70.46000000000001,16.049999999999997,50.0,78.5,46.92,41.01,69.33,79.53999999999999,43.34,80.38,82.31,79.82,53.09,55.25,40.71,25.159999999999997,80.55,62.15,38.43,60.02,6.299999999999997,67.22999999999999,18.549999999999997,39.7,85.35,65.19,50.0,49.89,60.35,34.370000000000005,80.72,47.05,50.0,26.060000000000002,60.65,15.769999999999996,65.88,0.7399999999999949,58.07,56.54,92.22,66.67,20.14,57.79,15.870000000000005,43.91,68.9,33.34,29.75,37.31,63.17,58.55,10.349999999999994,57.19,69.05,48.29,53.79,14.790000000000006,51.35
2,Pollination Contribution,2,70.19,17.980000000000004,24.33,57.5,62.43,7.609999999999999,50.0,42.0,12.230000000000004,9.019999999999996,100.0,10.920000000000002,40.4,14.909999999999997,92.39,27.47,62.05,6.590000000000003,50.0,61.78,50.0,59.1,0.7900000000000063,55.06,56.5,46.84,54.05,63.75,44.92,45.77,60.43,38.47,50.04,54.17,98.64,55.41,55.79,93.05,53.57,25.049999999999997,63.02,25.340000000000003,50.0,77.27,64.92,39.7,60.38,50.0,52.46,62.39,29.599999999999994,77.74,20.040000000000006,50.0,54.76,1.5300000000000011,6.760000000000005,33.980000000000004,46.46,7.219999999999999,48.17,88.06,57.48,60.0,64.28999999999999,94.4,91.19,32.349999999999994,46.47,86.81,36.3,56.85,51.88,23.840000000000003,37.83,35.489999999999995,98.91,64.61,47.97,51.1,40.93,72.11,70.67,1.8400000000000034,27.450000000000003,65.42,81.51,17.459999999999994,17.17,86.96000000000001,52.27,39.2,65.69,47.52,65.78999999999999,34.56999999999999,17.549999999999997,51.39,58.75,85.35,26.950000000000003,14.840000000000003,49.39,51.67,40.51,15.079999999999998,50.0,81.06,43.53,40.44,57.69,81.56,43.07,79.05,89.87,82.39,61.73,66.6,30.489999999999995,19.790000000000006,77.56,52.19,22.760000000000005,56.38,4.319999999999993,67.97999999999999,18.849999999999994,13.530000000000001,85.15,34.269999999999996,100.0,45.78,67.47999999999999,26.39,79.53,46.59,50.0,17.459999999999994,49.18,9.739999999999995,66.64,0.6099999999999994,51.5,26.629999999999995,91.88,66.66,12.739999999999995,56.4,13.349999999999994,42.35,54.04,33.33,26.08,37.99,55.29,23.069999999999993,9.310000000000002,66.39,60.3,41.91,55.21,13.079999999999998,48.05
3,Pollination Contribution,3,72.14,16.950000000000003,22.450000000000003,57.5,57.47,7.150000000000006,50.0,35.36,11.819999999999993,3.760000000000005,100.0,12.5,37.06,14.489999999999995,91.61,27.689999999999998,67.28,3.480000000000004,50.0,61.5,50.0,49.66,0.7399999999999949,56.19,55.17,48.76,55.54,64.92,44.93,45.35,66.25,36.93,49.12,54.17,98.36,55.21,52.85,90.33,49.46,23.900000000000006,64.95,24.980000000000004,50.0,74.17,72.3,38.71,56.16,50.0,52.47,58.18,28.980000000000004,73.16,19.489999999999995,50.0,54.76,1.3799999999999955,6.140000000000001,33.56999999999999,46.07,7.1299999999999955,46.47,87.78999999999999,52.22,60.0,67.86,93.47,90.43,29.739999999999995,46.24,84.96000000000001,34.78,55.82,51.81,23.799999999999997,37.98,33.230000000000004,98.91,64.1,54.63,48.48,39.34,72.64,70.95,0.6700000000000017,25.950000000000003,69.6,75.89,14.219999999999999,10.060000000000002,92.89,48.63,33.099999999999994,65.61,47.42,67.65,34.47,17.159999999999997,50.47,57.16,87.03999999999999,27.010000000000005,12.790000000000006,49.67,51.67,37.04,14.560000000000002,50.0,80.41,40.3,40.1,53.0,81.56,40.86,78.52,92.05,74.68,69.53999999999999,67.5,28.510000000000005,16.849999999999994,75.68,44.14,19.739999999999995,51.84,4.1299999999999955,67.78,19.08,9.439999999999998,85.12,30.92,100.0,44.17,61.68,24.319999999999993,78.16,45.59,58.33,14.489999999999995,45.8,9.61,63.98,0.5499999999999972,52.73,19.97,90.78999999999999,66.66,11.510000000000005,56.25,11.090000000000003,44.75,47.0,33.33,25.42,39.36,52.04,14.459999999999994,9.370000000000005,66.84,55.45,41.26,55.71,11.36,47.04
4,Pollination Contribution,4,78.14,19.209999999999994,18.569999999999993,65.33,45.69,7.420000000000002,75.0,27.150000000000006,11.530000000000001,3.6899999999999977,100.0,11.170000000000002,35.480000000000004,13.269999999999996,82.27,6.790000000000006,75.82,5.25,50.0,67.18,66.67,46.71,0.6800000000000068,60.48,46.32,48.78,55.5,71.33,45.25,44.93,76.28,36.67,43.09,66.67,92.99,50.58,54.53,72.59,50.22,23.72,75.0,24.379999999999995,50.0,52.85,51.63,33.2,41.39,50.0,50.85,58.52,32.08,71.48,19.060000000000002,100.0,64.25,1.2399999999999949,9.379999999999995,32.78,46.46,7.1299999999999955,44.5,80.14,42.24,69.82,67.78,41.2,79.77,30.590000000000003,43.4,78.61,27.959999999999994,53.8,51.78,23.799999999999997,32.56,32.47,94.68,58.62,44.47,38.37,36.8,67.16,65.97999999999999,0.0,14.069999999999993,68.53,71.59,3.239999999999995,1.4699999999999989,92.29,53.45,30.409999999999997,67.28999999999999,40.15,77.38,20.540000000000006,16.799999999999997,45.96,50.9,92.39,30.150000000000006,12.39,49.52,52.71,12.239999999999995,14.120000000000005,41.57,81.5,38.74,28.049999999999997,52.03,82.01,37.48,81.69,93.59,69.58,84.45,72.92,27.450000000000003,16.22,66.71000000000001,37.01,19.560000000000002,52.62,3.319999999999993,71.83,19.11,11.780000000000001,85.17,31.319999999999993,100.0,26.299999999999997,27.340000000000003,22.86,72.05,41.85,66.67,4.579999999999998,44.66,7.409999999999997,61.38,1.0699999999999932,49.88,24.75,79.93,80.93,10.129999999999995,49.6,8.810000000000002,42.12,42.2,50.0,25.099999999999994,28.489999999999995,39.99,14.510000000000005,0.4099999999999966,54.98,50.49,38.59,57.29,19.709999999999994,45.05
5,Pollination Contribution,5,71.27,25.540000000000006,9.099999999999994,76.11,37.45,8.25,100.0,22.510000000000005,14.36,8.659999999999997,79.23,6.650000000000006,27.310000000000002,15.599999999999994,63.59,5.650000000000006,65.53999999999999,15.049999999999997,58.38,60.34,100.0,44.71,0.8299999999999983,55.12,29.590000000000003,44.83,55.88,72.35,43.74,45.53,71.84,27.010000000000005,41.62,90.95,74.4,32.33,58.33,30.28,54.61,23.939999999999998,87.82,24.620000000000005,50.0,33.91,43.76,26.680000000000007,25.39,100.0,34.67,66.33,30.099999999999994,82.4,24.090000000000003,100.0,84.85,2.700000000000003,11.579999999999998,33.599999999999994,33.91,9.36,51.77,74.26,11.650000000000006,24.790000000000006,80.77,6.810000000000002,65.69,33.3,36.39,76.06,17.510000000000005,49.06,51.62,23.879999999999995,29.560000000000002,40.32,54.88,71.74,41.0,17.650000000000006,27.409999999999997,68.02,75.19,0.0,1.3199999999999932,68.32,75.47,1.4500000000000028,2.25,66.86,51.6,33.150000000000006,49.51,33.75,89.47,21.03,18.900000000000006,19.61,37.77,92.05,38.75,11.049999999999997,42.77,45.63,3.6099999999999994,12.019999999999996,15.510000000000005,60.69,35.599999999999994,15.61,68.53,41.89,31.069999999999993,56.5,93.22,63.01,66.9,79.84,25.950000000000003,25.269999999999996,36.17,26.200000000000003,20.92,57.55,3.260000000000005,61.31,3.299999999999997,17.090000000000003,63.93,38.3,100.0,24.53,16.480000000000004,34.599999999999994,49.16,36.88,83.33,5.900000000000006,60.19,6.159999999999997,22.86,1.4899999999999949,45.58,37.09,71.42,97.04,4.109999999999999,40.86,8.519999999999996,37.73,31.650000000000006,66.74000000000001,27.129999999999995,19.75,40.19,14.239999999999995,0.39000000000000057,44.07,43.93,41.65,55.74,17.53,41.45
6,Pollination Contribution,6,70.31,34.44,8.75,87.45,34.25,6.590000000000003,100.0,21.290000000000006,23.069999999999993,12.780000000000001,11.400000000000006,3.3499999999999943,30.28,11.569999999999993,52.74,2.3400000000000034,52.4,71.81,71.48,57.8,96.01,60.05,0.980000000000004,43.9,17.519999999999996,34.510000000000005,47.69,74.47,37.81,39.48,77.93,23.700000000000003,36.32,93.18,65.85,27.159999999999997,73.65,23.730000000000004,66.53999999999999,29.33,88.4,33.730000000000004,100.0,27.459999999999994,36.18,21.64,20.019999999999996,100.0,32.2,81.91,28.22,85.43,29.739999999999995,99.42,90.49,3.219999999999999,6.530000000000001,37.25,29.36,22.760000000000005,62.79,61.04,4.450000000000003,17.58,80.82,4.010000000000005,58.32,38.48,35.209999999999994,67.99000000000001,10.510000000000005,48.6,52.33,14.969999999999999,28.400000000000006,48.99,43.45,80.38,40.4,12.540000000000006,22.650000000000006,69.45,76.16,0.0,1.2199999999999989,56.79,85.99,1.230000000000004,2.3700000000000045,57.79,47.35,49.76,37.85,28.290000000000006,85.63,21.64,35.230000000000004,13.5,34.400000000000006,97.16,59.93,10.959999999999994,40.26,34.42,3.3900000000000006,12.430000000000007,15.329999999999998,54.75,33.349999999999994,10.420000000000002,72.75,23.549999999999997,31.299999999999997,47.78,92.71,61.23,59.03,74.28999999999999,31.980000000000004,41.22,23.040000000000006,31.36,32.790000000000006,57.97,3.0799999999999983,48.87,4.769999999999996,38.01,38.87,45.88,99.52,19.290000000000006,17.849999999999994,48.43,46.19,28.450000000000003,83.28,4.680000000000007,69.9,5.230000000000004,11.36,1.4899999999999949,31.08,56.8,46.19,96.32,3.4399999999999977,38.21,8.510000000000005,32.67,37.44,38.06,33.06999999999999,16.58,42.48,9.459999999999994,0.39000000000000057,39.23,27.489999999999995,26.709999999999994,52.81,16.83,40.55
7,Pollination Contribution,7,72.34,37.44,1.0600000000000023,88.87,38.01,7.260000000000005,100.0,21.450000000000003,33.78,15.689999999999998,50.0,4.599999999999994,36.26,15.329999999999998,68.64,2.4200000000000017,62.86,77.78999999999999,72.96000000000001,58.77,95.86,62.33,0.9899999999999949,44.13,17.680000000000007,35.68000000000001,54.24,76.8,29.459999999999994,41.81,79.19,26.97,40.32,96.08,80.89,26.549999999999997,75.74,37.99,68.07,36.39,89.26,40.25,100.0,34.58,40.21,6.890000000000001,26.209999999999994,100.0,31.28,84.08,25.959999999999994,81.26,38.83,100.0,91.21000000000001,3.3900000000000006,8.11,42.42,27.269999999999996,29.810000000000002,65.25,77.51,4.540000000000006,20.650000000000006,80.84,10.14,72.34,49.48,35.68000000000001,72.98,3.4599999999999937,48.2,52.97,13.019999999999996,3.8900000000000006,55.7,66.65,79.75,21.33,14.189999999999998,22.090000000000003,72.06,77.71000000000001,0.0,0.9000000000000057,57.84,85.97,1.3199999999999932,2.2900000000000063,55.68,1.5400000000000063,54.64,26.67,27.61,87.11,21.61,40.83,15.530000000000001,39.59,92.05,77.57,9.340000000000003,46.3,37.78,3.3499999999999943,14.620000000000005,13.129999999999995,66.31,34.459999999999994,10.939999999999998,79.28999999999999,7.920000000000002,31.409999999999997,66.37,93.57,61.84,63.96,74.23,37.04,53.39,29.83,38.81,40.76,60.77,2.8100000000000023,19.870000000000005,4.689999999999998,44.02,40.69,73.02,100.0,19.340000000000003,17.730000000000004,54.14,53.24,22.930000000000007,83.27,4.480000000000004,71.22,5.25,23.97,1.2199999999999989,29.08,65.38,73.28999999999999,95.67,0.6599999999999966,43.24,8.290000000000006,31.939999999999998,43.37,24.700000000000003,38.43,19.310000000000002,45.58,9.269999999999996,0.39000000000000057,43.32,29.870000000000005,14.439999999999998,54.96,16.33,42.64
8,Pollination Contribution,8,62.98,37.1,1.5400000000000063,64.27000000000001,31.89,6.439999999999998,100.0,21.019999999999996,25.689999999999998,15.769999999999996,0.0,3.3799999999999955,34.980000000000004,13.079999999999998,49.01,2.3100000000000023,48.09,77.36,48.81,53.04,95.42,57.81,1.0600000000000023,41.38,5.260000000000005,34.61,13.599999999999994,72.39,14.329999999999998,16.03,75.38,26.680000000000007,37.15,62.25,68.03,18.989999999999995,76.03,25.769999999999996,67.97,52.74,77.77,34.05,100.0,28.25,34.760000000000005,7.840000000000003,21.36,79.12,17.659999999999997,83.64,12.299999999999997,81.47,29.959999999999994,98.71,85.34,3.299999999999997,13.980000000000004,37.85,15.040000000000006,19.959999999999994,61.12,55.74,3.069999999999993,6.3799999999999955,91.77,4.930000000000007,52.9,51.04,5.549999999999997,63.96,2.3299999999999983,47.69,52.08,12.709999999999994,4.150000000000006,49.82,45.35,82.28,21.340000000000003,13.060000000000002,14.459999999999994,66.82,74.74,0.0,0.8799999999999955,56.42,85.8,1.1200000000000045,2.8400000000000034,38.05,6.670000000000002,54.62,4.170000000000002,5.530000000000001,81.34,16.61,31.549999999999997,4.349999999999994,34.3,86.36,76.53999999999999,9.819999999999993,13.980000000000004,19.400000000000006,2.480000000000004,12.870000000000005,13.11,52.86,10.829999999999998,4.760000000000005,73.14,1.1899999999999977,19.489999999999995,51.62,92.83,60.97,50.41,71.53,43.04,39.11,22.180000000000007,36.68,40.25,61.7,2.1200000000000045,6.900000000000006,5.390000000000001,43.54,21.040000000000006,72.24,99.47,7.650000000000006,12.260000000000005,48.15,35.16,12.25,99.72,4.060000000000002,67.14,4.030000000000001,25.040000000000006,1.230000000000004,28.090000000000003,64.8,42.48,95.79,0.8299999999999983,34.760000000000005,8.290000000000006,21.28,43.01,2.530000000000001,31.900000000000006,10.959999999999994,38.6,8.620000000000005,0.39000000000000057,38.38,27.450000000000003,11.319999999999993,29.519999999999996,13.049999999999997,36.03
9,Pollination Contribution,9,67.24000000000001,32.620000000000005,7.810000000000002,82.31,32.870000000000005,6.459999999999994,100.0,21.760000000000005,18.950000000000003,11.049999999999997,50.0,5.3700000000000045,29.569999999999993,13.280000000000001,59.68,2.2900000000000063,49.49,66.74000000000001,66.99000000000001,55.98,91.99,58.8,1.019999999999996,44.87,12.989999999999995,37.43,27.799999999999997,73.85,19.5,18.200000000000003,76.19,24.17,35.68000000000001,72.68,66.31,21.42,70.91,23.939999999999998,62.82,27.319999999999993,82.53999999999999,32.78,100.0,27.58,33.19,17.39,19.439999999999998,89.76,29.049999999999997,76.95,21.980000000000004,76.42,25.159999999999997,98.75,91.82,3.299999999999997,6.450000000000003,35.17,19.689999999999998,20.980000000000004,60.15,70.53,3.7099999999999937,10.11,80.03999999999999,4.480000000000004,58.51,31.129999999999995,22.78,69.78999999999999,6.6299999999999955,48.02,51.79,12.670000000000002,16.86,41.78,43.44,75.52,35.03,12.36,16.310000000000002,68.0,75.48,0.0,1.1400000000000006,59.66,82.39,1.3299999999999983,2.219999999999999,43.84,37.82,44.25,14.510000000000005,19.540000000000006,79.35,18.03,32.480000000000004,8.0,35.19,98.2,53.52,11.069999999999993,34.980000000000004,22.629999999999995,2.8100000000000023,12.170000000000002,16.290000000000006,54.84,22.92,4.8799999999999955,70.84,17.28,25.25,49.31,92.76,61.03,54.37,70.56,29.909999999999997,38.07,22.370000000000005,30.53,30.61,57.84,2.6099999999999994,26.86,5.400000000000006,35.370000000000005,26.180000000000007,44.71,99.47,15.680000000000007,15.5,45.52,38.75,17.97,83.18,5.090000000000003,64.18,4.670000000000002,15.11,1.3799999999999955,27.11,54.25,65.0,95.79,2.3700000000000045,37.04,7.989999999999995,21.64,36.35,46.72,31.939999999999998,13.810000000000002,40.99,9.019999999999996,0.37999999999999545,38.89,34.34,23.019999999999996,44.15,14.060000000000002,37.83
1,Unmet Need,1,32.12,66.91,55.32,43.75,29.88,87.97,50.0,49.29,82.07,90.62,50.0,87.34,39.56,82.25,6.56,71.4,43.06,36.0,50.0,39.71,50.0,25.93,99.02,40.34,45.76,50.44,46.75,39.56,54.61,51.1,46.91,62.43,47.97,47.92,5.38,44.14,27.41,3.91,31.24,46.92,38.72,72.39,50.0,22.97,38.73,57.25,29.75,50.0,48.24,22.16,65.14,14.21,75.5,50.0,47.62,96.83,84.94,62.26,53.42,90.85,45.81,9.84,48.73,60.0,35.71,3.52,7.2,48.48,52.09,17.19,56.37,40.47,47.92,84.48,67.95,59.56,0.67,32.98,51.19,44.76,60.32,30.37,32.95,91.81,68.94,43.73,5.44,71.07,61.29,15.44,40.1,36.36,40.46,58.71,36.82,64.25,80.91,45.56,39.83,20.45,47.51,74.31,50.02,50.0,29.54,83.95,50.0,21.5,53.08,58.99,30.67,20.46,56.66,19.62,17.69,20.18,46.91,44.75,59.29,74.84,19.45,37.85,61.57,39.98,93.7,32.77,81.45,60.3,14.65,34.81,50.0,50.11,39.65,65.63,19.28,52.95,50.0,73.94,39.35,84.23,34.12,99.26,41.93,43.46,7.78,33.33,79.86,42.21,84.13,56.09,31.1,66.66,70.25,62.69,36.83,41.45,89.65,42.81,30.95,51.71,46.21,85.21,48.65
