,country,iso3,1980,2015,SSP1,SSP3,SSP5
0,Afghanistan,AFG,13248370.0,42481012.0,70357193.0,102034359.0,66895201.0
1,Albania,ALB,2671997.0,3826103.0,3854961.0,4179058.0,3823691.0
2,Algeria,DZA,19337715.0,22887590.0,30695299.0,40399040.0,32338297.0
3,Angola,AGO,8929900.0,26022638.0,51577488.0,65569416.0,52003575.0
4,Argentina,ARG,28105888.0,29702439.0,33547670.0,41523818.0,32027941.0
5,Armenia,ARM,3099751.0,6649644.0,6911681.0,8195902.0,6721243.0
6,Aruba,ABW,60096.0,452188.0,600959.0,711786.0,624203.0
7,Australia,AUS,14692000.0,17175040.0,29658811.0,22846274.0,35817434.0
8,Austria,AUT,7549433.0,4284744.0,10072290.0,4447914.0,12051651.0
9,Azerbaijan,AZE,6150738.0,4717196.0,5848050.0,5859680.0,5955040.0
10,Bangladesh,BGD,81470860.0,71752206.0,88467287.0,104290924.0,85414845.0
11,Belarus,BLR,9643000.0,4824547.0,2806909.0,3826203.0,2856043.0
12,Belgium,BEL,9859242.0,8189360.0,9935192.0,8007509.0,11302052.0
13,Belize,BLZ,144155.0,3207579.0,4169272.0,7001977.0,3860054.0
14,Benin,BEN,3717165.0,5045034.0,8955139.0,11552310.0,9028456.0
15,Bolivia,BOL,5589575.0,9625686.0,11429684.0,17054849.0,10560766.0
16,Bosnia and Herzegovina,BIH,4179855.0,547383.0,462260.0,484993.0,466015.0
17,Botswana,BWA,1001158.0,704710.0,920364.0,913342.0,967862.0
18,Brazil,BRA,121159761.0,169633202.0,187851448.0,221397433.0,179017508.0
19,Brunei Darussalam,BRN,193949.0,772747.0,1005045.0,1282822.0,1018310.0
20,Bulgaria,BGR,8861535.0,11139630.0,13926178.0,14418218.0,13946410.0
21,Burkina Faso,BFA,6822843.0,8676340.0,17592062.0,23798262.0,16939669.0
22,Burma,MMR,33369712.0,49163915.0,45512298.0,56957017.0,42272245.0
23,Burundi,BDI,4116817.0,9894183.0,28294242.0,33811382.0,29350108.0
24,Cambodia,KHM,6692107.0,41144533.0,48724240.0,54485983.0,47066711.0
25,Cameroon,CMR,8618354.0,31190354.0,53143480.0,66407756.0,52740267.0
26,Canada,CAN,24593000.0,42061466.0,63599158.0,48703684.0,74559915.0
27,Central African Republic,CAF,2279821.0,1854857.0,3115220.0,4037999.0,3086489.0
28,Chad,TCD,4512042.0,7342071.0,14044352.0,18198932.0,13701151.0
29,Chile,CHL,11266226.0,16743321.0,19208400.0,21947278.0,19340488.0
30,China,CHN,981235000.0,1086875920.0,1081870484.0,1138510904.0,1034153631.0
31,Colombia,COL,27737900.0,51593606.0,63291366.0,80316798.0,62725475.0
32,Congo,COG,1839935.0,2035742.0,3521305.0,4102912.0,3623407.0
33,Costa Rica,CRI,2389310.0,4857910.0,6610813.0,7518834.0,6829568.0
34,Cote d'Ivoire,CIV,8293675.0,23413115.0,34149977.0,49044099.0,31687874.0
35,Croatia,HRV,4588000.0,6442526.0,6205748.0,5919505.0,6504061.0
36,Cuba,CUB,9835177.0,9045582.0,7211359.0,8264138.0,6779532.0
37,Cyprus,CYP,685406.0,1173771.0,1610479.0,1582272.0,1773662.0
38,Czech Republic,CZE,10304193.0,4651860.0,5183150.0,4960975.0,6901211.0
39,Democratic Republic of the Congo,COD,26357462.0,53124168.0,104522906.0,127348764.0,104179923.0
40,Denmark,DNK,5123027.0,3269457.0,4131884.0,3321198.0,5525321.0
