,country,iso3,1850,1900,1910,1945,1980,2015,SSP1,SSP3,SSP5
0,Afghanistan,AFG,48.6,50.05,49.93,47.75,53.49,54.4,53.28,62.85,58.44
1,Albania,ALB,67.82,82.71,83.96,81.83,75.68,66.53,63.44,63.79,68.22
2,Algeria,DZA,57.78,76.31,78.12,81.2,90.9,91.24,98.94,98.45,92.17
3,Angola,AGO,48.02,48.68,47.97,49.14,49.96,47.57,35.78,92.94,54.55
4,Argentina,ARG,30.53,39.78,46.39,58.37,67.07,71.77,67.98,73.75,72.88
5,Armenia,ARM,85.74,91.16,91.82,91.62,91.13,92.39,91.6,92.52,92.51
6,Aruba,ABW,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
7,Australia,AUS,49.29,58.6,65.7,75.85,85.11,86.22,86.89,87.64,85.67
8,Austria,AUT,83.68,87.17,87.43,87.66,85.67,77.72,68.39,75.68,81.63
9,Azerbaijan,AZE,90.65,91.15,96.28,96.35,91.49,87.43,84.49,84.41,89.19
10,Bahrain,BHR,50.0,0.0,0.0,0.0,20.15,89.12,50.0,100.0,50.0
11,Bangladesh,BGD,87.37,89.16,87.62,89.04,93.43,96.71,95.48,96.68,94.71
12,Belarus,BLR,39.55,56.98,59.89,61.32,69.17,66.07,60.65,61.78,66.76
13,Belgium,BEL,81.91,84.57,84.96,86.18,84.04,88.04,84.34,86.54,86.35
14,Belize,BLZ,7.13,8.02,8.84,18.99,36.86,48.31,31.58,50.82,41.27
15,Benin,BEN,75.47,78.99,79.49,95.48,95.2,96.81,96.75,96.95,96.97
16,Bolivia,BOL,42.78,37.52,34.27,28.13,39.08,53.14,41.64,56.39,55.27
17,Bosnia and Herzegovina,BIH,37.13,93.76,96.65,94.91,85.2,28.39,20.09,20.69,35.08
18,Botswana,BWA,50.0,50.0,50.0,50.0,43.83,41.65,40.17,56.41,38.26
19,Brazil,BRA,39.85,38.32,38.59,34.18,43.54,48.4,47.34,52.8,51.23
20,Brunei Darussalam,BRN,50.0,50.0,50.0,33.33,0.09,1.52,1.0,3.16,10.66
21,Bulgaria,BGR,25.18,40.49,49.63,52.37,54.01,38.47,36.31,40.38,39.73
22,Burkina Faso,BFA,98.32,98.69,98.79,98.89,98.85,98.73,98.73,98.63,98.68
23,Burma,MMR,40.38,44.98,43.84,39.43,44.72,55.99,55.63,58.4,54.79
24,Burundi,BDI,43.54,37.8,38.15,49.59,68.0,78.06,77.78,91.55,85.46
25,Cambodia,KHM,50.13,53.11,51.36,50.88,54.83,65.33,64.24,65.3,62.44
26,Cameroon,CMR,48.48,47.37,45.71,44.95,45.25,53.26,47.49,86.26,72.0
27,Canada,CAN,43.22,44.34,45.04,51.2,55.41,52.13,48.35,55.64,52.9
28,Central African Republic,CAF,54.28,54.73,54.73,54.46,58.25,60.8,69.0,87.98,78.8
29,Chad,TCD,47.46,51.37,52.21,53.89,53.03,59.09,56.55,81.59,79.39
30,Chile,CHL,47.38,44.36,40.98,39.75,46.24,46.52,45.31,49.49,48.54
31,China,CHN,64.0,63.18,64.88,65.46,75.76,79.66,75.85,75.73,79.08
32,Colombia,COL,49.66,52.15,54.83,62.01,63.86,68.99,64.58,68.62,68.74
33,Congo,COG,47.92,45.83,45.83,33.8,13.71,13.44,14.9,46.33,35.96
34,Costa Rica,CRI,5.69,1.78,2.09,10.13,30.88,38.39,24.78,36.39,37.99
35,Cote d'Ivoire,CIV,46.02,46.46,46.54,48.15,68.53,75.79,76.42,83.74,81.53
36,Croatia,HRV,27.22,43.09,45.86,44.3,40.85,26.7,24.93,24.32,29.05
37,Cuba,CUB,3.91,6.94,9.66,27.32,69.74,76.33,61.96,74.27,76.12
38,Cyprus,CYP,41.2,56.33,50.44,49.69,45.3,43.41,41.86,41.96,47.13
39,Czech Republic,CZE,48.88,77.22,78.41,78.72,78.09,71.43,64.8,48.16,73.44
40,Democratic Republic of the Congo,COD,39.3,37.58,35.7,25.77,13.72,13.79,13.08,26.31,20.96
41,Denmark,DNK,69.67,71.83,72.25,72.83,72.64,63.43,57.52,62.66,63.95
42,Djibouti,DJI,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
43,Dominican Republic,DOM,23.49,23.35,26.51,48.1,66.61,72.65,65.23,71.79,72.53
44,Ecuador,ECU,38.78,34.91,30.79,47.59,61.59,67.67,62.7,70.66,70.71
45,Egypt,EGY,58.81,61.75,62.7,68.1,74.73,79.62,96.33,95.22,84.03
46,El Salvador,SLV,30.28,39.85,43.77,57.62,74.09,79.52,73.71,78.43,80.15
47,Equatorial Guinea,GNQ,50.0,50.0,50.0,50.0,0.0,0.0,0.36,21.22,8.18
48,Eritrea,ERI,48.55,47.48,47.28,48.43,65.99,68.58,69.13,85.68,71.72
49,Estonia,EST,18.29,28.17,32.59,31.81,24.88,12.94,11.31,11.58,17.4
50,Ethiopia,ETH,66.45,69.19,69.84,67.79,71.92,74.08,76.51,89.61,80.48
51,Finland,FIN,11.88,19.28,23.96,25.93,14.52,12.17,16.04,15.83,21.25
52,France,FRA,73.07,77.9,78.55,79.05,73.51,67.34,58.39,67.44,72.14
53,French Guiana,GUF,50.0,50.0,50.0,0.0,0.0,0.52,0.0,1.27,1.12
54,Gabon,GAB,47.62,45.24,45.24,35.75,15.04,9.06,8.44,13.41,7.56
55,Gambia,GMB,97.54,98.5,98.58,98.14,95.72,95.05,94.94,94.88,94.89
56,Georgia,GEO,85.47,93.58,94.05,91.91,91.95,94.03,92.77,89.66,94.09
57,Germany,DEU,60.42,64.21,64.62,65.31,64.22,59.97,53.61,59.8,61.92
58,Ghana,GHA,53.44,53.46,53.73,52.92,64.69,69.72,71.46,84.61,79.62
59,Gibraltar,GIB,90.09,92.09,92.18,92.2,89.9,76.88,69.77,79.62,78.65
60,Greece,GRC,46.18,52.5,54.23,56.2,48.57,38.43,36.04,40.08,41.07
61,Guatemala,GTM,7.41,8.8,9.0,15.91,23.34,36.71,19.75,43.17,27.5
62,Guinea,GIN,48.73,47.07,48.11,57.64,86.91,94.69,94.48,96.81,95.78
63,Guinea-Bissau,GNB,60.0,39.99,39.99,31.12,63.16,75.64,73.84,92.88,87.63
