,country,iso3,1850,1900,1910,1945,1980,2015,SSP1,SSP3,SSP5
0,Afghanistan,AFG,48.59,50.08,50.02,48.31,54.04,54.95,53.82,63.3,59.0
1,Albania,ALB,68.02,82.93,84.13,82.03,75.95,66.72,63.66,64.0,68.37
2,Algeria,DZA,57.9,76.34,78.14,81.15,90.91,91.27,98.94,98.45,92.19
3,Angola,AGO,47.94,48.62,47.92,49.11,50.14,47.93,36.11,93.48,55.24
4,Argentina,ARG,30.64,40.05,46.43,58.5,67.28,71.94,68.14,73.87,73.03
5,Armenia,ARM,85.58,90.92,91.57,91.49,91.02,92.4,91.59,92.71,92.52
6,Aruba,ABW,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
7,Australia,AUS,49.29,58.77,65.33,75.28,84.37,85.67,86.25,86.82,85.13
8,Austria,AUT,84.0,87.95,88.2,88.48,86.15,77.27,67.65,75.53,81.39
9,Azerbaijan,AZE,90.65,91.2,96.23,96.3,91.56,87.49,84.57,84.48,89.3
10,Bahrain,BHR,50.0,0.0,0.0,0.0,19.02,90.06,50.0,100.0,50.0
11,Bangladesh,BGD,87.37,89.18,87.63,89.0,93.43,96.72,95.49,96.69,94.72
12,Belarus,BLR,39.64,57.99,61.04,62.5,70.52,67.46,61.8,62.98,68.17
13,Belgium,BEL,82.58,85.4,85.82,87.0,84.66,88.56,84.74,86.99,86.79
14,Belize,BLZ,6.89,7.85,8.67,22.12,35.07,45.34,31.8,50.12,38.19
15,Benin,BEN,77.09,77.58,77.73,95.24,95.42,97.4,97.38,97.55,97.57
16,Bolivia,BOL,42.78,37.52,34.27,27.67,38.5,52.45,40.33,55.97,54.85
17,Bosnia and Herzegovina,BIH,37.18,93.63,96.58,94.84,85.19,28.56,20.97,21.51,34.86
18,Botswana,BWA,50.0,50.0,50.0,50.0,43.09,40.93,39.45,55.82,37.64
19,Brazil,BRA,39.85,38.3,38.56,34.2,43.58,48.5,47.45,52.85,51.4
20,Brunei Darussalam,BRN,50.0,50.0,50.0,33.33,0.03,3.38,2.1,3.7,9.98
21,Bulgaria,BGR,25.3,40.64,49.72,52.44,54.17,38.61,36.36,40.51,39.87
22,Burkina Faso,BFA,98.27,98.65,98.75,98.84,98.75,98.62,98.61,98.5,98.55
23,Burma,MMR,40.37,44.97,43.81,39.32,44.31,55.22,54.87,57.63,53.95
24,Burundi,BDI,43.95,38.44,38.94,48.72,65.15,76.82,76.57,92.69,84.25
25,Cambodia,KHM,49.76,52.72,51.42,50.65,54.67,65.55,64.43,65.54,62.67
26,Cameroon,CMR,48.52,47.48,45.86,45.24,45.5,53.36,47.81,86.28,72.92
27,Canada,CAN,44.5,45.65,45.89,51.9,56.96,53.52,50.01,57.12,54.26
28,Central African Republic,CAF,54.36,54.82,54.82,54.55,58.35,60.86,69.66,88.15,79.46
29,Chad,TCD,48.15,52.15,52.98,54.08,53.01,58.78,56.29,81.08,78.83
30,Chile,CHL,47.38,44.36,40.98,39.77,46.2,46.62,45.38,49.71,48.74
31,China,CHN,64.19,63.36,65.05,65.75,75.88,80.25,76.25,75.88,79.62
32,Colombia,COL,49.54,52.07,55.31,61.89,64.21,69.24,64.95,69.04,69.15
33,Congo,COG,47.92,45.83,45.83,33.79,15.13,15.22,16.72,46.91,36.83
34,Costa Rica,CRI,6.18,2.42,2.73,12.58,34.96,41.75,29.12,39.9,41.38
35,Cote d'Ivoire,CIV,46.06,46.51,46.61,48.27,68.3,75.14,75.74,83.45,81.12
36,Croatia,HRV,26.86,42.17,44.8,43.16,39.63,25.86,24.27,23.83,28.29
37,Cuba,CUB,3.92,6.95,9.67,27.31,69.65,76.22,61.9,74.17,76.01
38,Cyprus,CYP,41.26,56.47,50.58,49.82,45.43,43.47,41.99,42.09,47.2
39,Czech Republic,CZE,46.92,76.01,77.25,77.53,77.06,70.99,64.07,47.17,73.02
40,Democratic Republic of the Congo,COD,39.27,37.53,35.63,25.63,13.65,13.83,13.06,26.24,20.79
41,Denmark,DNK,72.22,74.48,74.83,75.43,75.21,66.17,59.67,65.85,67.1
42,Djibouti,DJI,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
43,Dominican Republic,DOM,23.36,23.19,26.38,48.44,67.08,72.99,65.56,72.13,72.87
44,Ecuador,ECU,38.77,34.89,30.96,47.84,60.62,67.49,62.23,70.05,70.3
45,Egypt,EGY,58.8,61.78,62.74,68.14,74.72,79.64,96.35,95.26,84.09
46,El Salvador,SLV,29.7,39.0,42.75,57.52,74.26,79.62,74.21,78.67,80.22
47,Equatorial Guinea,GNQ,50.0,50.0,50.0,50.0,0.0,0.0,0.35,30.24,12.94
48,Eritrea,ERI,48.41,47.34,47.19,48.31,65.79,68.42,69.03,84.92,71.49
49,Estonia,EST,20.43,33.64,38.06,37.56,29.64,15.72,13.67,14.04,20.07
50,Ethiopia,ETH,66.28,69.8,70.41,67.91,71.62,73.55,76.2,89.28,80.37
51,Finland,FIN,16.04,23.83,28.37,30.12,19.22,16.41,20.41,20.21,25.4
52,France,FRA,73.6,78.28,78.92,79.4,74.02,67.82,58.7,67.87,72.57
53,French Guiana,GUF,50.0,50.0,50.0,0.0,0.0,0.53,0.0,1.3,1.14
54,Gabon,GAB,47.62,45.24,45.24,35.75,15.1,9.34,8.61,13.94,7.78
55,Gambia,GMB,97.55,98.56,98.64,98.15,95.74,95.1,95.06,94.92,94.93
56,Georgia,GEO,85.6,93.66,94.08,91.74,91.33,93.84,92.57,88.85,93.91
57,Germany,DEU,60.7,64.3,64.71,65.46,64.47,60.13,54.59,60.02,62.29
58,Ghana,GHA,53.81,54.06,54.63,55.29,67.14,70.92,72.84,85.55,80.76
59,Gibraltar,GIB,89.99,91.99,92.08,92.1,89.8,76.83,69.71,79.57,78.6
60,Greece,GRC,46.06,52.3,54.0,56.02,48.59,38.52,36.16,40.18,41.15
61,Guatemala,GTM,7.45,8.87,9.07,16.01,23.38,36.33,19.79,42.95,27.55
62,Guinea,GIN,48.74,47.38,48.32,58.25,88.02,95.2,95.01,96.91,96.08
63,Guinea-Bissau,GNB,60.0,39.99,39.99,31.85,62.74,76.34,74.16,92.63,88.31
64,Guyana,GUY,35.71,35.71,32.14,32.74,20.72,20.82,20.84,9.66,21.32
65,Haiti,HTI,3.51,5.59,6.56,58.91,93.26,96.08,90.01,95.16,95.6
66,Honduras,HND,7.35,9.06,9.88,20.28,35.82,43.66,28.78,47.68,43.51
67,Hungary,HUN,46.86,66.43,69.07,67.49,63.92,58.53,48.92,47.1,67.26
68,India,IND,52.1,53.54,53.79,57.21,64.44,65.68,65.11,95.7,78.03
69,Indonesia,IDN,17.21,13.19,15.12,21.69,24.33,32.26,27.32,36.17,30.46
70,Iran (Islamic Republic of),IRN,56.12,63.71,65.27,72.42,82.83,89.8,96.9,98.02,93.72
71,Iraq,IRQ,57.18,64.3,66.49,76.74,86.41,88.63,93.42,93.57,90.23
72,Ireland,IRL,81.94,81.99,82.13,82.19,82.94,75.69,73.44,75.41,77.35
