,country,iso3,1850,1900,1910,1945,1980,2015,SSP1,SSP3,SSP5
0,Afghanistan,AFG,49.85,51.33,50.64,49.08,54.68,55.64,53.61,62.97,58.71
1,Albania,ALB,66.91,82.02,83.05,80.79,74.46,65.57,62.56,62.9,67.38
2,Algeria,DZA,55.32,75.67,77.55,81.43,90.9,91.25,98.94,98.46,92.19
3,Angola,AGO,48.75,47.92,47.92,46.34,47.22,42.14,40.71,63.65,45.6
4,Argentina,ARG,30.55,39.35,45.42,58.53,66.99,71.31,67.55,73.66,72.69
5,Armenia,ARM,87.97,92.39,92.85,92.58,91.75,93.4,92.74,93.56,93.54
6,Aruba,ABW,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
7,Australia,AUS,49.29,58.53,65.34,75.14,82.77,84.17,85.06,85.49,83.69
8,Austria,AUT,82.07,87.77,88.18,88.47,85.64,76.93,66.22,74.31,81.05
9,Azerbaijan,AZE,90.62,90.98,96.24,96.31,91.34,87.22,84.31,84.23,88.94
10,Bahrain,BHR,50.0,0.0,0.0,0.0,20.77,88.6,50.0,100.0,50.0
11,Bangladesh,BGD,87.34,89.08,87.5,88.83,93.35,96.65,95.4,96.62,94.63
12,Belarus,BLR,39.56,59.6,62.94,64.52,72.69,69.72,63.74,65.02,70.43
13,Belgium,BEL,82.25,85.09,85.5,86.74,84.4,88.42,84.66,86.92,86.72
14,Belize,BLZ,6.56,7.61,8.39,17.74,36.4,47.26,31.36,50.99,40.32
15,Benin,BEN,71.4,72.53,72.31,93.21,94.35,97.66,97.58,97.69,97.71
16,Bolivia,BOL,43.06,37.95,34.8,29.04,40.01,54.54,44.08,57.47,56.76
17,Bosnia and Herzegovina,BIH,36.0,93.41,96.52,94.75,84.95,28.19,22.21,22.64,33.26
18,Botswana,BWA,50.0,50.0,50.0,50.0,43.18,41.02,39.54,55.88,37.7
19,Brazil,BRA,39.85,38.5,38.85,34.65,43.46,49.46,48.42,54.42,52.26
20,Brunei Darussalam,BRN,50.0,50.0,50.0,33.33,0.0,3.99,4.14,4.58,8.02
21,Bulgaria,BGR,25.93,40.9,50.34,53.29,55.29,39.95,37.67,42.19,41.2
